# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.361 75.0832 217.34 2.50265e+06
1000 153.692 73.7745 217.062 2.46117e+06
1500 153.386 73.4482 217.076 2.44557e+06
2000 152.872 73.3185 216.926 2.43139e+06
2500 152.535 73.1891 216.667 2.41885e+06
3000 152.632 73.0261 216.616 2.41444e+06
3500 152.816 72.9617 216.817 2.41745e+06
4000 152.942 72.942 216.994 2.42076e+06
4500 152.938 72.9154 216.889 2.41864e+06
5000 152.796 72.943 216.733 2.41557e+06
5500 152.676 72.8791 216.671 2.41087e+06
6000 152.584 72.7839 216.81 2.40781e+06
6500 152.595 72.8163 216.613 2.40688e+06
7000 152.704 72.8346 216.598 2.40904e+06
7500 152.664 72.8088 216.807 2.40987e+06
8000 152.657 72.797 216.839 2.40972e+06
8500 152.646 72.8369 216.708 2.40942e+06
9000 152.67 72.908 216.564 2.41055e+06
9500 152.811 72.9235 216.443 2.41194e+06
10000 152.817 72.9276 216.421 2.41191e+06
10500 152.828 72.9149 216.292 2.41024e+06
11000 152.768 73.0211 216.257 2.41241e+06
11500 152.817 72.8661 216.202 2.40745e+06
12000 152.772 72.8239 216.209 2.40543e+06
12500 152.763 72.9032 216.517 2.41133e+06
13000 152.838 72.9273 216.445 2.41251e+06
13500 152.915 72.9855 216.138 2.41222e+06
14000 152.985 72.9478 216.053 2.41113e+06
14500 153.043 72.8678 216.33 2.4125e+06
15000 152.882 72.8551 216.364 2.40992e+06
15500 152.936 73.0109 215.89 2.41064e+06
16000 152.788 72.9853 215.957 2.40819e+06
16500 152.922 72.9214 216.178 2.41067e+06
17000 152.971 72.9347 216.142 2.41148e+06
17500 153.03 72.8999 216.114 2.41094e+06
18000 152.958 72.8588 216.214 2.40956e+06
18500 152.86 72.8938 216.355 2.41075e+06
19000 152.811 72.9109 216.577 2.413e+06
19500 152.893 72.8675 216.322 2.41003e+06
20000 152.925 72.9351 216.133 2.41066e+06
20500 152.898 72.8845 216.397 2.41151e+06
21000 152.923 72.856 216.527 2.4124e+06
21500 152.783 72.9084 216.377 2.41026e+06
22000 152.883 72.8691 216.285 2.40951e+06
22500 152.821 72.9397 216.533 2.41363e+06
23000 152.832 72.9326 216.546 2.41372e+06
