# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -52.3849 -10.5108 -153.78 7.13627 -9.01619 -156.076 0.689239
1000 -2.56478 -0.363682 -8.23653 0.905861 5.66954 -154.362 1.10465
1500 -0.657445 -2.76252 0.261735 0.528451 -0.285903 -107.797 14.6323
2000 -1.01219 -1.12563 -3.31339 1.40246 -8.78514 8.58357 13.274
2500 -0.59607 1.45449 -0.58955 -2.65316 -12.533 89.0478 15.1808
3000 1.80873 1.61601 0.134306 3.67587 -3.15817 48.9513 -7.84486
3500 0.525841 1.6051 0.0629087 -0.0904891 -3.746 -5.92777 -18.1475
4000 0.496093 2.19578 -0.895579 0.188074 1.24176 -69.0728 -20.4658
4500 1.70571 -1.08486 2.53112 3.67088 0.113419 -79.3137 -13.1717
5000 -0.528104 -0.120518 0.0210169 -1.48481 -4.21532 -24.1823 -15.775
5500 1.13409 2.10914 0.783783 0.509363 14.212 -3.36911 -9.45553
6000 0.566343 0.722033 1.33409 -0.35709 8.655 9.45065 5.0857
6500 1.51748 0.38701 -0.00820013 4.17364 10.5206 -5.12745 0.114323
7000 0.96535 1.1619 1.47657 0.257582 -7.58164 -8.2496 -2.23495
7500 0.831033 -0.289706 1.34151 1.44129 8.63031 -34.3517 1.28947
8000 2.80655 5.32498 -0.862394 3.95705 -5.29945 -30.2659 -27.7208
8500 0.719072 -0.131733 2.74929 -0.460342 4.89247 -5.28023 -15.457
9000 0.415843 1.54503 2.93678 -3.23428 9.37291 5.90413 -6.42729
9500 0.472098 -2.80729 0.740095 3.48349 11.4832 -8.12591 1.20909
10000 1.33816 4.13542 -0.705125 0.58417 -0.953579 -28.1249 13.6438
10500 2.1137 -0.724517 5.46048 1.60514 11.102 -16.6314 17.5652
11000 -0.0390961 3.21433 -3.19304 -0.138572 -4.82425 -13.617 12.6109
11500 -0.530744 0.27699 -1.9631 0.0938789 -1.63619 -1.91328 6.93324
12000 2.64577 0.98455 3.86513 3.08764 -10.173 3.54113 -8.99697
12500 0.572229 2.24571 -1.94925 1.42023 -11.6702 -11.3175 -4.23697
13000 2.04709 0.293174 4.52318 1.32492 5.89302 8.76676 13.9586
13500 0.844507 1.05847 2.34725 -0.872202 -3.78057 -11.9544 11.4319
14000 0.753733 -0.604718 -1.89336 4.75927 3.64256 -15.9732 5.60619
14500 0.652077 1.61773 3.09427 -2.75576 5.64369 -16.7688 16.5065
15000 0.42365 2.8664 -0.527047 -1.06841 -10.5365 -6.57846 10.7267
15500 1.77664 0.923458 2.31589 2.09057 -6.8704 24.6768 4.66615
16000 1.03979 0.297455 -1.28518 4.10708 -1.89499 23.9773 -13.3877
16500 1.6149 1.32345 3.59087 -0.0696128 5.63866 -2.78184 -10.9798
17000 1.81606 3.31257 1.69771 0.437895 0.0394162 3.10771 8.69628
17500 0.78786 0.0177993 1.05986 1.28592 -1.84102 -24.3369 22.2923
18000 1.10976 -1.23027 1.06064 3.49889 -3.06156 -27.7694 35.6114
18500 -0.261036 -0.973573 -0.570995 0.76146 -2.73071 -13.9819 21.4473
19000 -0.184003 3.21547 -0.771904 -2.99558 -4.99508 -43.7477 11.7006
19500 2.43095 -0.0307008 3.56583 3.75771 10.0715 -13.8672 18.1568
20000 0.851584 3.34489 0.538259 -1.3284 16.6588 -12.8637 12.2393
20500 0.598475 0.317354 1.17961 0.298458 0.266863 -28.3794 3.65757
21000 1.87195 1.67049 1.46182 2.48355 21.749 -42.7069 9.80025
21500 0.584684 1.09853 1.29551 -0.639985 4.73526 -4.92766 2.79192
22000 1.78992 0.4949 -0.840868 5.71572 4.99915 -15.3955 -3.0255
22500 0.0500181 0.633584 1.96643 -2.44996 -5.13483 -28.9885 11.7506
23000 1.09902 -0.00826302 1.63474 1.67057 -0.258685 -48.0871 12.3966
23500 1.11137 1.2254 2.26984 -0.161137 -0.593166 -36.6636 12.9558
24000 1.20961 3.88724 -2.7208 2.4624 -8.34908 -34.9937 6.63162
24500 0.296848 -1.41757 2.5688 -0.260685 -5.20769 -25.5694 3.86343
25000 1.5582 0.43874 1.54378 2.69207 2.70738 -6.01342 3.27429
25500 0.274577 0.939053 0.191559 -0.30688 4.67568 -27.8514 1.14331
26000 1.6676 0.729072 2.55903 1.71468 8.13052 -29.3736 4.01751
26500 -0.00121158 -0.0109897 1.71628 -1.70893 -0.911106 -10.3537 11.5844
