# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
38500 0.882849 1.07171 1.58601 -0.00917978 -1.74879 -12.4355 4.51722
39000 0.727945 -0.202246 1.80555 0.580528 2.79456 -0.0945107 4.87272
39500 2.05997 3.47153 1.04562 1.66276 2.84456 -4.63708 -2.20573
40000 0.735383 0.0138005 1.44102 0.751328 -1.52846 -4.59738 1.30086
40500 0.448062 1.00194 0.23201 0.110237 3.33733 -3.17861 1.53549
41000 1.07581 0.0954226 0.995577 2.13644 -0.0487979 -11.7653 2.93035
41500 0.738624 1.65642 0.134114 0.425335 0.760459 -22.7412 4.86834
42000 1.46376 1.54894 1.55972 1.28264 0.974295 -5.44037 9.98868
42500 0.157001 -0.51024 1.38822 -0.406971 -1.98038 7.74354 10.0274
43000 1.34034 1.28096 0.403433 2.33664 -1.75034 6.3188 0.387081
43500 0.927404 1.34568 0.683506 0.753026 -0.265689 8.11599 -2.92006
44000 1.26977 1.69409 1.76051 0.354709 3.70384 0.823609 -12.2089
44500 1.39228 0.651326 1.4787 2.04681 0.795697 -19.8136 -17.3232
45000 0.926509 0.622557 1.61154 0.545427 2.92344 -11.2748 -17.0737
45500 0.765699 0.523831 0.868625 0.904641 0.406136 -11.0335 -10.803
46000 2.01969 3.00443 2.32735 0.727276 1.91748 -18.8175 -1.71266
46500 -0.661151 -0.800132 -1.4324 0.249082 -5.02158 12.16 13.2328
47000 1.85546 1.25625 1.94643 2.36371 -3.86034 -1.18293 20.5359
47500 0.403398 0.114718 1.44816 -0.35268 -1.74207 -8.96643 21.9151
48000 2.54122 3.315 1.55971 2.74894 -4.03858 -7.38249 -0.31067
48500 0.698566 1.13856 0.41629 0.540852 -0.856049 -17.9253 -8.56612
49000 0.414785 -0.438404 1.03688 0.645883 -1.14377 1.72101 -16.3088
49500 1.13655 1.12758 1.33086 0.951198 -0.310473 4.91424 -5.45689
50000 0.861827 1.03721 0.864809 0.683465 -3.64419 15.4328 -2.06157
50500 0.370366 0.193973 0.571361 0.345762 -3.83914 0.477185 -3.1317
51000 1.55447 1.37271 1.6012 1.6895 1.05666 -8.92173 -2.02477
51500 1.24225 2.12779 0.0847513 1.51419 -4.68071 -6.16775 9.75662
52000 0.804291 0.0348681 1.08124 1.29677 -7.73512 -9.35922 12.1926
52500 0.614657 1.166 -0.480929 1.1589 -9.31382 -12.2685 8.73675
53000 1.03616 0.625465 2.17231 0.310712 -1.01149 -0.634172 5.34636
53500 2.04596 3.14886 1.13802 1.85102 -4.51068 16.3742 -12.0414
54000 0.0616288 -0.991129 0.371122 0.804893 -1.4078 6.0779 -7.08898
54500 0.905999 1.97807 0.945062 -0.205132 -3.0359 -4.75783 1.47201
55000 1.8611 1.19526 1.59888 2.78914 -2.58877 -3.93045 6.47822
55500 0.431065 -0.348741 0.870714 0.771223 -4.36358 -0.0131696 8.4116
56000 0.650892 1.99595 -0.048361 0.00509206 -2.70605 21.0235 8.26855
56500 0.982418 -0.331676 1.98652 1.29241 -7.1867 2.98209 1.78412
57000 1.33417 1.77103 0.578731 1.65275 -4.8392 -4.01122 6.18524
57500 0.686316 0.286936 2.46739 -0.69538 -6.49421 10.182 -1.58939
58000 0.501358 1.1856 0.0677313 0.250743 -1.4059 15.6147 0.634968
58500 1.97687 2.04089 1.62325 2.26646 -2.7669 -16.3728 -2.48544
59000 0.0579446 -0.628702 -0.00482222 0.807358 -6.05987 -3.77334 -1.24829
59500 1.30185 1.78119 0.470385 1.65397 -1.76961 17.2784 4.3536
60000 1.97738 2.35533 2.17488 1.40193 -7.16436 7.77883 6.01779
60500 0.263403 -0.586984 0.576134 0.80106 -2.8541 6.64511 5.00044
61000 1.17935 2.14823 0.3452 1.04463 -2.77778 4.38399 6.43581
61500 1.16655 0.755127 1.08223 1.6623 -3.20444 -4.09947 10.3845
62000 1.20433 0.407691 2.49694 0.708343 0.438127 -12.0166 12.2515
62500 1.05783 2.24235 0.333094 0.598052 -0.631514 10.7963 9.1224
63000 0.078173 -2.02113 0.110852 2.1448 -6.42969 5.09482 5.80547
63500 2.26758 3.16325 2.98075 0.658736 1.84482 6.71845 4.27945
64000 0.55533 0.381992 0.330881 0.953117 5.41614 5.14623 7.41868
64500 0.679752 1.60036 0.212751 0.226143 -0.884313 6.86553 9.01851
65000 0.598968 -0.131386 1.60919 0.319103 -0.524464 -14.2141 9.54056
65500 2.18854 3.50982 1.0734 1.9824 -5.06579 -4.80213 8.66593
66000 0.650532 -1.51089 2.03347 1.42901 -3.20985 4.15102 0.582532
66500 0.30091 1.15588 -0.507715 0.254565 -9.67387 2.05369 -4.92934
67000 2.23606 2.39063 2.03506 2.28249 -1.95195 -1.14742 -4.62407
67500 0.268668 0.387977 1.13528 -0.717256 0.875056 -11.505 -4.11858
68000 1.073 1.49908 -0.228626 1.94856 -2.53614 0.55886 0.906702
