# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
200000 -10.1299 -15.7191 2.40762 -17.0782 -2.01695 7.75606 4.30952
400000 -12.4274 -22.0207 3.09405 -18.3556 -2.91131 7.69256 -1.02031
600000 -10.5002 -35.7424 9.13011 -4.88832 -3.40723 10.8364 0.138539
800000 -13.0132 -36.0537 4.01101 -6.99701 -3.37218 9.10701 -3.00651
1000000 -16.399 -38.1897 2.78619 -13.7934 -1.21458 14.7826 -0.872396
1200000 -13.5726 -35.3397 8.17421 -13.5522 -0.826299 9.99548 0.835623
1400000 -16.8931 -37.9985 5.58747 -18.2682 -0.323289 9.30536 1.83907
1600000 -22.8494 -43.4084 2.16427 -27.3042 -2.4267 14.1355 0.446408
1800000 -21.905 -41.6324 -0.36789 -23.7146 -1.63517 8.98806 -1.5055
2000000 -23.6518 -41.4191 -1.39172 -28.1444 -1.25061 8.79349 -0.517867
2200000 -24.2577 -42.4048 -2.23522 -28.133 -1.55405 13.593 1.6284
2400000 -25.9233 -44.9374 -1.0248 -31.8077 -0.474858 13.9604 2.63837
2600000 -26.7033 -45.8468 -1.65768 -32.6054 -0.21635 13.7201 3.50475
2800000 -30.3172 -49.0773 -4.40606 -37.4683 0.700154 16.064 1.63427
3000000 -30.8208 -49.1097 -5.37298 -37.9797 -2.16608 15.0123 -1.73766
3200000 -31.3851 -48.9625 -6.59527 -38.5976 -3.87811 16.2595 0.500486
3400000 -35.8565 -53.5354 -7.99119 -46.0431 -1.10022 20.4135 0.560476
3600000 -33.93 -50.0793 -5.2763 -46.4344 -1.35577 16.4764 0.351632
3800000 -32.9804 -49.0569 -7.45295 -42.4313 -1.2301 13.2404 2.42848
4000000 -30.7284 -48.2152 -5.72436 -38.2455 -1.63765 12.1815 -0.390078
4200000 -31.5288 -48.3547 -5.38363 -40.848 -2.2892 10.1621 -2.08149
4400000 -32.4763 -49.8224 -7.59446 -40.0119 -1.05861 8.63546 -0.991371
4600000 -34.0388 -50.7606 -9.21744 -42.1385 -2.0695 8.41166 1.04209
4800000 -32.238 -47.8989 -7.44654 -41.3686 -2.95633 9.37873 1.87534
5000000 -32.9966 -51.0158 -8.64194 -39.332 -3.52322 7.20899 -0.218775
5200000 -33.4826 -50.7442 -9.19927 -40.5042 -3.05781 9.19657 1.82238
5400000 -33.3281 -50.271 -9.44952 -40.2639 -3.44587 6.36016 0.760707
5600000 -33.1277 -48.5041 -10.7094 -40.1696 -2.30421 8.04053 1.63969
5800000 -34.2297 -53.1216 -10.0108 -39.5567 -2.15467 8.88145 3.2918
6000000 -34.1949 -50.5578 -10.1848 -41.8422 -1.4812 10.7705 2.82545
6200000 -34.2917 -50.6712 -8.58035 -43.6235 -1.48273 11.6605 0.418082
6400000 -34.926 -51.4849 -10.0506 -43.2425 -2.39884 13.0331 1.3525
6600000 -33.2381 -50.7678 -7.75417 -41.1924 -2.52132 8.21067 1.06177
6800000 -33.8061 -51.4738 -8.46822 -41.4763 -0.959104 10.5091 0.622669
7000000 -36.1408 -54.3564 -10.9281 -43.1378 -0.653513 9.05692 -2.31153
7200000 -37.3873 -53.5113 -11.9688 -46.6818 -0.0761679 11.757 -3.26695
7400000 -37.1593 -53.3777 -13.242 -44.8582 0.253274 9.41643 -3.94827
7600000 -38.3812 -55.6996 -13.7068 -45.7374 -1.07012 7.65613 -2.00828
7800000 -37.0281 -53.7709 -12.256 -45.0574 -2.32759 9.28066 -2.37199
8000000 -36.3947 -53.5231 -11.5084 -44.1524 -1.89689 9.35859 0.0792969
8200000 -36.2272 -53.7345 -12.3949 -42.5523 -2.82673 11.5097 0.123609
8400000 -37.8577 -55.7846 -11.0475 -46.741 -2.30673 12.3914 -1.03276
8600000 -37.1251 -56.3065 -12.5813 -42.4875 -2.02204 10.6613 0.675639
8800000 -39.3788 -57.3654 -15.8522 -44.9189 -2.40808 11.5849 -0.285468
9000000 -41.5433 -59.287 -16.4115 -48.9314 -2.60664 15.5502 1.51423
9200000 -42.0253 -58.3064 -19.0442 -48.7253 -2.70688 15.2748 0.478776
9400000 -41.8705 -56.9767 -16.4206 -52.214 -3.91227 15.5984 1.03107
9600000 -41.5068 -57.4643 -15.5227 -51.5334 -2.94292 14.3208 2.16838
9800000 -46.4435 -62.577 -18.3932 -58.3604 -2.67467 16.7864 2.47633
10000000 -45.9262 -63.1527 -17.0237 -57.6021 -3.2874 17.7407 4.64387
10200000 -44.781 -61.6783 -17.139 -55.5258 -3.16324 16.6288 1.97616
10400000 -43.869 -60.4284 -14.3378 -56.8407 -1.66686 15.0081 0.760566
10600000 -44.8465 -61.0901 -16.2035 -57.246 -2.57988 13.9419 -0.167628
10800000 -43.4697 -61.3064 -14.1181 -54.9845 -3.37389 12.2907 1.75554
11000000 -43.9907 -59.7519 -15.5738 -56.6464 -2.61761 14.3334 -1.7658
11200000 -41.1347 -58.5169 -13.3544 -51.5328 -2.86777 13.4664 -0.444515
11400000 -43.6065 -59.9415 -15.6145 -55.2634 -3.47252 17.0058 2.79465
11600000 -42.7004 -60.7438 -14.1519 -53.2054 -4.3804 13.3586 2.85958
11800000 -40.1327 -57.47 -13.7668 -49.1614 -4.33964 11.4429 2.7533
12000000 -44.4822 -60.8448 -17.7692 -54.8328 -3.29151 14.9428 2.35689
12200000 -43.8301 -60.4767 -17.4275 -53.586 -4.13792 14.6175 1.48729
12400000 -43.1019 -60.1553 -15.7862 -53.3642 -3.06076 15.1631 -1.35472
12600000 -44.2851 -61.0374 -17.0855 -54.7324 -4.47677 17.3609 -2.60723
12800000 -42.3105 -59.0456 -16.1138 -51.7721 -3.75771 12.5259 1.31592
13000000 -43.3782 -59.5912 -15.3191 -55.2244 -3.05825 12.4299 1.51071
13200000 -43.8695 -59.7817 -17.6137 -54.213 -5.38151 9.73688 1.02462
13400000 -43.9963 -59.8583 -16.4608 -55.6698 -5.47604 10.8979 3.69386
13600000 -45.516 -62.9368 -17.49 -56.1212 -5.48855 13.439 3.50279
13800000 -43.9022 -61.1247 -15.3707 -55.2111 -4.89017 13.7319 0.824978
14000000 -46.5969 -63.8934 -15.6623 -60.235 -4.33666 13.3736 -0.632204
14200000 -45.8887 -64.0114 -14.9431 -58.7116 -5.54838 12.545 1.29836
14400000 -45.1813 -61.996 -16.6138 -56.9341 -5.36628 12.902 5.16081
14600000 -44.6883 -61.8469 -16.6262 -55.5919 -3.56434 12.1951 5.79322
14800000 -45.6287 -63.2372 -17.5474 -56.1014 -3.92478 13.0507 5.97492
15000000 -44.8584 -61.9802 -16.569 -56.0261 -3.71378 10.8397 8.19761
15200000 -45.9432 -62.4973 -17.0569 -58.2753 -1.53795 12.3463 7.16495
15400000 -43.6519 -59.0016 -16.4848 -55.4695 -2.03105 9.83783 6.22114
15600000 -42.0252 -58.3942 -15.222 -52.4595 -2.6803 10.578 7.5231
15800000 -43.7215 -58.5895 -17.4379 -55.1371 -3.94288 9.59696 7.6604
16000000 -45.3359 -60.6369 -18.646 -56.7247 -2.22189 12.2563 7.73515
16200000 -44.1783 -60.4856 -17.0489 -55.0003 -4.15289 8.54065 4.08051
16400000 -42.5408 -57.9171 -14.4647 -55.2405 -2.70701 7.68575 0.875434
16600000 -43.7904 -60.7116 -16.8869 -53.7727 -2.60062 8.73937 1.68468
16800000 -45.6796 -61.6745 -17.2643 -58.0999 -2.66537 10.4278 2.3453
17000000 -46.5137 -63.4509 -18.9022 -57.188 -3.748 8.73908 -1.28153
17200000 -46.7509 -61.3852 -19.6364 -59.231 -2.14274 9.36359 2.20408
17400000 -44.6966 -61.3294 -18.9565 -53.8039 -2.39703 10.2846 -0.839237
17600000 -45.829 -63.1797 -19.9695 -54.3379 -1.65971 9.55292 0.0124799
17800000 -46.2301 -62.9019 -17.6879 -58.1005 0.133666 11.9767 2.66542
18000000 -47.8468 -65.2773 -18.7995 -59.4636 -0.232116 13.886 3.06029
18200000 -47.609 -64.2722 -17.7673 -60.7875 -1.93622 13.0795 3.37098
18400000 -49.7145 -66.4776 -20.5195 -62.1463 -3.20688 12.7132 1.90638
18600000 -53.6418 -68.4068 -22.7105 -69.8082 -2.74485 15.2344 1.50695
18800000 -49.5958 -65.0258 -18.3324 -65.4293 -1.71842 12.2289 1.7133
19000000 -51.3928 -67.0348 -20.9428 -66.2009 -1.21203 14.7698 -1.13177
19200000 -55.2706 -71.4305 -20.157 -74.2243 -0.272559 20.3985 -0.838747
19400000 -54.5613 -69.1322 -20.9099 -73.6419 -1.10232 20.5465 -0.539511
19600000 -54.2189 -68.9161 -20.5635 -73.1772 -2.96788 21.1384 -0.724685
19800000 -54.9032 -68.4572 -22.7967 -73.4556 -2.42121 23.0693 0.401291
20000000 -56.25 -70.1956 -22.4192 -76.1352 -2.16523 24.0424 1.47856
20200000 -52.5786 -66.276 -20.6029 -70.857 -1.73829 21.4228 1.91471
20400000 -54.3302 -68.7254 -21.5501 -72.7151 -1.98678 23.3155 3.83671
20600000 -53.695 -69.2914 -21.9753 -69.8183 -1.13516 20.946 2.00966
20800000 -53.5158 -67.5776 -21.422 -71.5477 -2.48139 24.9073 5.88625
21000000 -53.7497 -66.8962 -21.1303 -73.2226 -2.30302 22.5918 4.44925
21200000 -56.5288 -70.5834 -23.6605 -75.3424 -1.44848 24.8595 4.59392
21400000 -52.5301 -66.4695 -20.423 -70.6978 -1.4212 22.6652 3.7009
21600000 -53.9425 -69.5431 -20.4495 -71.8349 -3.53839 22.9329 2.51478
21800000 -55.1872 -67.6441 -24.6433 -73.2743 -1.53006 20.3596 5.38988
22000000 -54.5469 -66.6165 -23.4132 -73.6112 -0.88332 20.793 6.22908
22200000 -53.84 -68.6339 -22.8641 -70.0219 -1.63665 22.0443 3.10222
22400000 -52.9675 -67.1576 -22.2091 -69.5357 -3.22681 22.9674 3.3293
22600000 -52.0486 -67.5866 -19.8309 -68.7283 -1.13432 21.1658 4.53435
22800000 -50.9882 -67.0409 -19.3097 -66.6139 -0.811485 16.8299 0.874888
23000000 -48.2864 -65.6261 -19.7465 -59.4867 -1.40971 15.0772 1.68871
23200000 -51.3613 -64.8916 -21.0758 -68.1166 -0.40321 17.6814 1.37183
23400000 -53.9452 -67.3583 -23.9382 -70.5392 -1.66523 18.2623 -0.955285
23600000 -50.3887 -64.2918 -20.5774 -66.297 -2.71542 16.4463 0.894442
23800000 -51.0971 -64.9706 -23.2812 -65.0394 -0.985756 15.8857 0.149318
24000000 -49.862 -63.9706 -21.5486 -64.0668 -1.21596 12.5064 1.25435
24200000 -51.397 -66.2474 -22.647 -65.2967 -3.08328 14.8818 -1.43906
24400000 -51.3553 -65.1916 -23.001 -65.8732 -3.95294 13.4781 0.269205
24600000 -52.4647 -66.2544 -25.7498 -65.3898 -3.13069 16.4934 3.02794
24800000 -50.7931 -65.6433 -23.7927 -62.9434 -3.0835 17.4337 0.92457
25000000 -52.3235 -68.7422 -24.745 -63.4834 -3.01095 13.4831 3.00998
25200000 -54.3549 -69.574 -23.3005 -70.1901 -2.92364 20.2704 1.54726
25400000 -56.1037 -71.1543 -25.4024 -71.7544 -1.79355 20.7018 1.09736
25600000 -57.5668 -73.1809 -25.8528 -73.6666 -1.5368 20.6041 1.01593
25800000 -57.2122 -73.1488 -24.475 -74.0127 -1.45034 21.3478 -1.09679
26000000 -55.828 -71.0744 -24.5433 -71.8665 -0.602307 19.0615 -1.90645
26200000 -56.3239 -71.6555 -23.9701 -73.3462 -1.4457 20.6679 -4.76113
26400000 -58.9012 -73.6464 -26.6001 -76.4573 -1.22077 21.5809 -3.32912
26600000 -58.2486 -72.7874 -27.9781 -73.9802 -1.9798 20.561 -4.16422
26800000 -55.7662 -70.9375 -24.8041 -71.5571 -1.71531 18.3357 -1.05026
27000000 -56.9133 -70.9108 -27 -72.8291 -0.782877 19.8447 -3.2505
27200000 -57.28 -73.1923 -26.6022 -72.0454 0.682493 19.8452 -3.81283
27400000 -56.3248 -71.478 -24.9846 -72.5118 0.243718 22.4283 -2.06733
27600000 -55.9067 -69.5885 -24.8169 -73.3146 -0.716545 24.059 -2.80262
27800000 -55.6678 -69.6589 -25.1129 -72.2316 -1.24488 20.8871 -5.26969
28000000 -56.4326 -70.5801 -25.7461 -72.9716 -0.895742 19.4325 -5.76339
28200000 -55.3832 -68.6886 -25.2603 -72.2007 -0.05745 18.5967 -8.21454
28400000 -55.147 -70.3777 -23.6709 -71.3925 -0.951504 17.2301 -6.43902
28600000 -53.969 -68.7315 -24.4153 -68.7603 -1.04274 16.2907 -4.88223
28800000 -54.0121 -68.7825 -23.9263 -69.3276 -2.99966 17.3324 -7.15318
29000000 -52.9956 -68.1989 -22.7842 -68.0038 -2.00726 15.6706 -7.08948
29200000 -56.1136 -71.0618 -25.8953 -71.3836 -1.27022 16.3724 -5.69305
29400000 -56.4629 -71.1613 -26.6863 -71.5411 -1.44594 14.969 -4.98514
29600000 -55.945 -70.629 -27.6116 -69.5943 -0.298047 16.6241 -2.4179
