# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -66.4142 -43.213 -178.326 22.2967 -0.732447 -116.413 2.48313
1000 -1.45149 -5.46889 -10.1029 11.2174 -2.59915 -69.7708 -0.0901089
1500 -0.594517 -2.30403 -3.13767 3.65815 -1.38711 -59.2011 -3.1993
2000 -0.137918 2.89756 0.375945 -3.68726 -5.58203 -17.7433 -7.25587
2500 0.692854 0.769304 3.57714 -2.26788 -8.32666 38.3984 -4.39074
3000 1.09208 2.09955 0.607409 0.569292 7.29807 48.5123 -0.865913
3500 0.861927 1.40865 -1.05659 2.23372 6.2862 34.4163 -4.06373
4000 1.01328 1.17169 1.44277 0.425382 0.709537 1.86761 -1.10735
4500 1.61192 1.8828 0.887865 2.06511 4.33375 -17.9646 0.0640197
5000 1.16122 -0.191502 2.53183 1.14332 -4.07897 -32.9738 5.53902
5500 0.0462433 0.545123 -0.100755 -0.305638 -3.48002 -30.9228 7.64352
6000 1.72481 2.46053 1.32117 1.39274 0.929944 -20.2454 5.40395
6500 0.687348 1.24696 -0.00361229 0.818697 1.99053 -10.5895 3.81623
7000 1.05962 1.00774 2.75495 -0.583819 -3.30882 -1.87336 2.66091
7500 0.506303 -0.179094 -0.701614 2.39962 -3.91308 6.29812 6.94457
8000 1.00008 1.32519 1.35239 0.322678 -2.33636 4.96347 -1.00556
8500 1.62838 1.19881 2.68612 1.00019 -4.8074 -4.44549 -3.12337
9000 0.846222 0.0569732 0.622555 1.85914 -5.13773 -14.1212 -2.09597
9500 0.971174 1.81989 0.213771 0.879866 1.84231 -22.2189 0.248582
10000 1.01088 1.46688 -0.156519 1.72227 -0.57894 -25.4475 -2.15628
10500 0.735637 1.58298 1.18937 -0.565437 1.31559 -10.1053 -0.695709
11000 1.68303 1.13828 3.96103 -0.0502322 2.01087 -3.04859 -3.21852
11500 0.41915 -0.924111 -0.198577 2.38014 -1.90198 -1.00732 -6.07435
12000 0.747867 1.59523 1.33738 -0.689005 -9.11524 -0.513073 -5.23638
12500 1.02949 1.57646 -0.0870746 1.5991 -9.12749 3.66398 -1.04798
13000 1.71271 2.85117 2.9523 -0.66534 -1.19756 4.04572 -5.20551
13500 1.16743 0.284097 0.0601279 3.15806 0.234721 -5.20602 -7.71998
14000 0.562931 0.979019 -0.292685 1.00246 0.607493 -10.3948 -3.82358
14500 0.618074 1.71508 0.199666 -0.0605213 -8.74757 -5.19413 -7.6637
15000 1.28798 0.869108 1.80643 1.1884 -5.52234 -0.492543 -1.89104
15500 0.261816 -0.200128 1.43378 -0.448208 -5.68838 -8.12575 1.24698
16000 1.81669 2.51341 1.1088 1.82786 -0.892913 -10.8753 3.27579
16500 0.0684171 -0.459049 0.680411 -0.0161107 -1.76971 -8.08566 1.71797
17000 2.21041 1.05652 2.90432 2.67039 4.07945 2.88166 7.79115
17500 -0.453701 0.321611 -1.93656 0.253842 -5.23997 -4.68176 7.12187
18000 1.83853 2.78679 2.48584 0.242955 -5.99276 -1.89934 3.56407
18500 1.25933 0.466128 1.51723 1.79463 2.34184 10.6786 6.60852
19000 0.844448 1.87545 -0.504177 1.16207 -0.835193 -4.68117 4.13391
19500 1.27178 1.43047 2.01418 0.370693 -5.74136 -13.4557 4.84749
20000 0.372261 -1.23883 0.866812 1.4888 1.86564 -4.35537 3.42258
20500 1.25316 1.55337 0.484262 1.72183 2.3448 -8.71048 0.812023
21000 1.42224 0.889397 2.11758 1.25974 0.275175 -7.00601 4.4888
21500 1.21406 1.5925 0.991115 1.05857 1.51862 -2.22922 -1.29345
22000 -0.041959 0.186496 0.255552 -0.567925 0.490496 8.40352 -7.56226
22500 0.988655 0.852904 0.828368 1.28469 -5.24961 18.3656 -2.96944
23000 1.38863 1.02608 1.89877 1.24104 -5.01879 11.7859 -5.42759
23500 1.40928 1.20178 0.766205 2.25985 -3.69334 12.9892 0.225943
24000 1.54888 1.37693 1.6868 1.58292 -1.49027 7.79354 2.99294
24500 0.386526 0.433156 0.662773 0.0636486 -0.811531 3.29312 -2.07296
25000 1.15655 1.7638 0.472936 1.23293 3.06715 -2.00275 -4.2978
25500 0.54897 -0.543598 1.42517 0.765336 -1.92495 -6.03808 -1.76239
26000 1.84844 2.3181 2.19354 1.03369 1.82123 -6.9647 -1.74422
26500 -0.63637 -0.111187 -1.12706 -0.670858 5.09341 5.13829 0.64407
27000 1.97545 1.9553 1.24406 2.72698 8.7195 -1.1601 1.64668
27500 0.175819 -0.61896 1.36858 -0.22216 0.996966 -5.1758 -0.018328
28000 2.17981 2.42784 2.96539 1.1462 -0.835784 3.72466 5.38591
28500 0.864023 0.936855 -0.0391686 1.69438 -2.42742 3.47408 3.18252
29000 1.37796 0.76252 2.18196 1.18941 3.52023 -7.16665 -0.134474
29500 0.24252 -0.566875 0.769313 0.525122 -0.153251 2.94924 -1.10161
30000 1.02876 1.60574 0.687715 0.792825 0.240123 7.69834 1.42208
30500 1.35832 2.1935 -0.00938827 1.89086 0.692029 -8.08782 1.32874
31000 0.227745 0.411802 0.609534 -0.338102 -0.00788651 -5.24825 2.48438
31500 1.99873 1.21864 2.33768 2.43986 0.664112 -0.782775 -3.21587
32000 0.394903 0.942741 0.480373 -0.238405 -1.52336 -3.00807 -4.60812
32500 1.21517 0.661303 0.935104 2.04911 -2.11652 2.66428 -7.27042
33000 -0.0497247 0.880654 -0.256462 -0.773366 -3.29193 5.51556 -4.67855
33500 1.60971 0.571667 1.27952 2.97793 0.537993 -4.33141 -3.04491
34000 1.55191 2.49513 1.23524 0.925367 4.45393 -6.41935 4.19374
34500 0.610399 -0.158702 0.024464 1.96543 1.69076 -7.81259 1.94883
35000 0.871111 -0.0606182 2.51743 0.156523 2.33587 -8.55596 0.626032
35500 0.409474 0.818995 -1.1686 1.57803 2.61953 -4.94259 6.52995
36000 1.73797 1.46099 4.36479 -0.611873 2.89946 -5.15034 0.60279
36500 0.562005 1.27278 -1.37242 1.78566 -2.25369 -8.7374 3.95849
37000 1.02789 0.495502 2.67733 -0.0891659 -3.35082 6.82451 3.3846
37500 1.24947 1.37898 -0.100408 2.46985 -0.0920369 -10.2494 2.14507
38000 1.71246 2.64659 1.56791 0.922876 3.39046 -7.80343 -3.15935
38500 0.178058 0.0172545 0.103413 0.413506 7.34895 -3.54368 -4.30552
39000 1.0024 1.08685 0.622966 1.2974 3.10265 -7.74141 -2.55441
39500 0.986799 0.326898 1.65009 0.983406 -0.322872 -3.52989 -4.56706
40000 -0.0506038 0.804346 -0.756982 -0.199175 0.382176 -7.80791 -4.11535
40500 1.84935 1.29319 2.45306 1.8018 -1.23747 0.9611 -3.58295
41000 1.29155 1.68589 1.32975 0.859015 0.921365 -9.75596 -0.528675
41500 1.3164 -0.360563 2.63134 1.67842 -0.492936 -5.06304 1.68196
42000 0.72711 3.1644 -1.45611 0.473044 -1.98698 -5.60106 -6.95557
42500 0.773669 0.372108 1.04833 0.900566 3.30414 -15.1368 -5.38031
43000 1.56381 1.18255 2.02493 1.48393 1.54111 -3.23574 -4.51157
43500 0.312862 -0.50698 1.01848 0.427086 3.84933 -2.52297 -9.5001
44000 0.89637 1.38876 -0.130738 1.43108 8.29381 -0.955163 -7.43767
44500 1.48416 2.27457 1.85445 0.323468 -1.58492 10.496 -5.65275
45000 0.657429 0.430009 1.78858 -0.246305 2.41945 1.91467 -4.52306
45500 1.6152 2.22307 -0.36141 2.98394 3.06529 3.28207 0.820424
46000 0.719507 0.0589481 0.230883 1.86869 2.84264 -9.2362 2.28838
46500 1.29453 0.671598 2.01169 1.2003 5.43698 -19.7511 1.37326
47000 0.687413 1.14337 0.14746 0.771413 5.29453 -7.72493 -1.40617
47500 1.04575 1.40772 1.66459 0.0649422 2.72846 -19.1003 5.92949
48000 0.83875 1.01029 -0.370021 1.87598 4.31986 -23.1936 -1.72085
48500 1.29828 0.763624 2.29389 0.837318 -2.0316 -10.699 1.16575
49000 0.460863 1.49312 0.384101 -0.494634 -4.99742 -3.76213 -5.47165
49500 1.07836 0.361191 1.7501 1.12379 -2.0498 -2.53037 -7.40155
50000 1.38816 1.61488 1.04222 1.50738 -0.469856 -2.09545 -3.4032
50500 0.70199 -0.152008 0.725871 1.53211 -3.77424 -11.8305 -7.70445
51000 0.743576 0.547927 1.06455 0.618253 -2.04439 -19.5001 -1.05535
51500 1.57429 2.22774 0.515989 1.97913 2.04301 -25.4483 2.93767
52000 0.541767 0.563583 0.85551 0.206208 -2.11725 -22.0581 -0.580748
52500 1.15991 1.23644 0.663968 1.57931 -0.528957 -19.7497 2.40773
53000 1.03172 0.99124 1.67146 0.432473 1.71978 -11.3646 -5.06459
53500 0.791788 1.82108 -0.313779 0.868067 -1.68215 -2.10568 -2.33721
54000 1.51566 -0.499399 3.02996 2.01643 0.343848 -7.07756 2.04632
54500 0.873339 2.08802 0.441544 0.0904565 3.00713 -9.96466 -6.03369
55000 1.43996 1.76732 2.29472 0.25782 -0.795558 -10.7423 -5.80674
55500 0.32221 -0.69181 0.00629646 1.65214 2.56665 -22.6635 -6.29453
56000 1.63823 1.37203 1.84262 1.70003 -1.27015 -13.8152 -8.36878
56500 0.776342 0.0180722 0.788505 1.52245 -6.08016 -18.6486 -4.14789
57000 0.63728 1.45168 0.720478 -0.260318 -1.54637 -8.9498 -6.04029
57500 0.736428 1.2475 1.06348 -0.101688 -1.20936 2.88002 -4.64112
58000 1.00348 1.55654 -0.304438 1.75833 -3.1612 -2.43997 -5.08017
58500 1.20631 0.390979 2.35554 0.8724 0.853683 -6.22767 -4.96992
59000 1.82745 1.64993 0.952729 2.87969 -5.602 -15.3247 -9.45548
59500 0.516804 1.32169 0.901532 -0.672811 -0.246927 -12.5189 -2.55693
