# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 305.978 151.722 217.619 1.01027e+07
1000 304.887 149.598 218.625 9.97154e+06
1500 303.945 148.967 219.592 9.94265e+06
2000 303.814 148.809 219.291 9.91422e+06
2500 303.888 148.913 218.463 9.88609e+06
3000 303.938 148.972 218.086 9.87453e+06
3500 304.2 148.872 218.085 9.87638e+06
4000 304.21 148.798 218.27 9.88021e+06
4500 304.457 148.704 218.363 9.88616e+06
5000 304.504 148.741 218.496 9.89616e+06
5500 304.347 148.775 218.51 9.894e+06
6000 304.448 148.81 218.307 9.89038e+06
6500 304.426 148.826 218.139 9.8831e+06
7000 304.341 148.79 218.085 9.8755e+06
7500 304.299 148.828 218.137 9.87903e+06
8000 304.298 148.823 218.137 9.87867e+06
8500 304.407 148.802 218.048 9.8768e+06
9000 304.351 148.774 218.221 9.88093e+06
9500 304.377 148.809 218.253 9.88558e+06
10000 304.559 148.748 218.144 9.8825e+06
10500 304.683 148.761 217.991 9.88044e+06
11000 304.611 148.855 217.93 9.88154e+06
11500 304.516 148.856 217.94 9.87898e+06
12000 304.54 148.814 217.923 9.87621e+06
12500 304.758 148.904 217.706 9.87943e+06
13000 304.888 148.902 217.626 9.87986e+06
13500 304.984 148.867 217.703 9.88417e+06
14000 304.918 148.87 217.776 9.88556e+06
14500 304.976 148.81 217.726 9.88117e+06
15000 304.978 148.903 217.708 9.88658e+06
15500 305.053 148.904 217.69 9.88831e+06
16000 304.86 148.968 217.631 9.88356e+06
16500 304.871 148.978 217.593 9.88285e+06
17000 304.734 148.968 217.641 9.87993e+06
17500 304.734 148.895 217.691 9.87737e+06
18000 304.708 148.945 217.599 9.87568e+06
18500 305.011 148.993 217.406 9.8799e+06
19000 304.897 148.968 217.582 9.88254e+06
19500 305.071 148.937 217.62 9.88787e+06
20000 304.993 149.036 217.443 9.88383e+06
20500 304.919 148.994 217.526 9.88244e+06
21000 304.971 148.887 217.633 9.88189e+06
21500 305.033 148.934 217.539 9.88273e+06
22000 304.939 148.975 217.424 9.87716e+06
22500 304.901 149.015 217.389 9.87701e+06
23000 304.889 148.997 217.451 9.87828e+06
23500 304.918 148.996 217.466 9.87982e+06
24000 305.043 148.941 217.481 9.88087e+06
24500 305.007 148.994 217.496 9.88388e+06
25000 305.13 148.906 217.454 9.88016e+06
25500 304.954 149.013 217.475 9.88248e+06
26000 304.899 149.036 217.507 9.88372e+06
26500 305.054 149.033 217.394 9.88341e+06
27000 304.992 149.031 217.42 9.88242e+06
27500 305.169 148.925 217.438 9.88196e+06
28000 305.098 148.941 217.343 9.87641e+06
28500 305.181 149.023 217.32 9.8835e+06
29000 305.11 148.947 217.401 9.87981e+06
29500 305.082 149.06 217.313 9.88242e+06
30000 304.947 149.023 217.27 9.8737e+06
30500 304.893 148.988 217.424 9.87659e+06
31000 305.028 148.888 217.461 9.87595e+06
31500 305.025 148.942 217.42 9.87762e+06
32000 305.166 148.978 217.372 9.8824e+06
32500 305.025 148.961 217.34 9.87519e+06
33000 305.21 148.983 217.268 9.87943e+06
33500 305.174 148.916 217.397 9.87971e+06
34000 305.184 148.899 217.341 9.8763e+06
34500 305.039 149.034 217.346 9.88083e+06
35000 305.007 148.982 217.502 9.88344e+06
35500 304.906 148.971 217.538 9.88106e+06
36000 304.996 148.937 217.427 9.87671e+06
36500 304.983 149.046 217.396 9.88211e+06
37000 304.946 148.971 217.351 9.8738e+06
37500 305.053 149 217.347 9.87901e+06
38000 304.959 148.999 217.422 9.87935e+06
38500 304.957 148.985 217.401 9.8774e+06
39000 305.051 148.946 217.356 9.8758e+06
39500 305.149 148.995 217.27 9.87833e+06
40000 305.018 149.015 217.286 9.87614e+06
40500 305.204 149.032 217.179 9.87843e+06
41000 304.979 148.982 217.334 9.87486e+06
41500 305.062 148.973 217.356 9.87794e+06
42000 305.067 149.037 217.261 9.87808e+06
42500 305.187 149.018 217.237 9.87955e+06
43000 305.144 148.954 217.247 9.8744e+06
43500 305.043 149.041 217.318 9.88014e+06
44000 304.986 148.978 217.362 9.87609e+06
44500 305.021 148.987 217.276 9.87396e+06
45000 305.076 149.058 217.157 9.87495e+06
45500 305.225 149.024 217.072 9.87368e+06
46000 305.1 148.994 217.396 9.88237e+06
46500 304.999 149.013 217.524 9.88619e+06
47000 305.042 149.093 217.279 9.88175e+06
47500 305.128 149.059 217.35 9.88554e+06
48000 305.113 148.962 217.449 9.88313e+06
48500 304.917 148.987 217.488 9.88016e+06
49000 304.959 149.025 217.408 9.88043e+06
49500 305.196 148.949 217.246 9.87571e+06
50000 305.103 148.991 217.312 9.87847e+06
50500 305.104 148.957 217.395 9.88001e+06
51000 304.936 148.943 217.487 9.8779e+06
51500 305.087 148.96 217.469 9.88302e+06
52000 305.11 148.906 217.455 9.87958e+06
52500 305.178 148.909 217.332 9.87638e+06
53000 305.234 148.949 217.289 9.87891e+06
53500 304.931 149.002 217.386 9.87703e+06
54000 305.103 149.006 217.329 9.88025e+06
54500 305.082 149.005 217.35 9.8804e+06
55000 305.028 148.986 217.368 9.87826e+06
55500 305.015 149.069 217.347 9.8824e+06
