# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.191 75.0737 217.447 2.50077e+06
1000 153.069 73.7764 217.913 2.46087e+06
1500 152.735 73.4481 218.094 2.4466e+06
2000 152.229 73.2968 217.864 2.43091e+06
2500 151.936 73.1477 217.593 2.41827e+06
3000 152.049 73.0298 217.655 2.41686e+06
3500 152.15 72.9337 217.985 2.41895e+06
4000 152.277 72.8264 218.335 2.42129e+06
4500 152.219 72.8887 218.363 2.42275e+06
5000 152.102 72.8414 218.097 2.41637e+06
5500 152.019 72.8125 217.81 2.41091e+06
6000 151.872 72.8532 217.846 2.41033e+06
6500 151.967 72.8724 217.766 2.41158e+06
7000 151.997 72.8832 217.764 2.41239e+06
7500 152.066 72.8726 217.815 2.4137e+06
8000 152.025 72.8678 217.806 2.41279e+06
8500 152.02 72.8978 217.745 2.41304e+06
9000 152.058 72.8519 217.746 2.41214e+06
9500 152.035 72.8631 217.816 2.41291e+06
10000 151.986 72.8104 217.763 2.4098e+06
10500 152.023 72.8022 217.529 2.40752e+06
11000 152.072 72.7988 217.652 2.40954e+06
11500 152.063 72.7342 217.865 2.40963e+06
12000 151.969 72.7772 217.847 2.40935e+06
12500 152.118 72.741 217.56 2.40735e+06
13000 152.068 72.7975 217.412 2.40679e+06
13500 152.08 72.8578 217.461 2.40951e+06
14000 152.118 72.9211 217.396 2.41149e+06
14500 152.048 72.8461 217.636 2.41055e+06
15000 151.966 72.7386 217.836 2.40791e+06
15500 151.951 72.7512 217.927 2.40911e+06
16000 151.966 72.769 217.763 2.40811e+06
16500 151.924 72.8394 217.805 2.41025e+06
17000 152.087 72.9174 217.471 2.41171e+06
17500 152.13 72.9319 217.212 2.41e+06
18000 152.13 72.9354 217.419 2.41241e+06
18500 152.174 72.891 217.555 2.41315e+06
19000 152.103 72.9509 217.483 2.41321e+06
19500 152.124 72.8926 217.439 2.41113e+06
20000 152.093 72.9013 217.31 2.40949e+06
20500 152.006 72.9435 217.255 2.40889e+06
21000 152.109 72.9473 217.279 2.41091e+06
21500 152.129 72.7928 217.422 2.4077e+06
22000 152.094 72.8486 217.29 2.40754e+06
22500 152.146 72.8462 217.175 2.407e+06
23000 152.022 72.8318 217.427 2.40736e+06
23500 151.847 72.7434 217.759 2.40533e+06
24000 151.912 72.7355 217.702 2.40547e+06
24500 151.878 72.7042 217.565 2.40238e+06
25000 152.062 72.666 217.745 2.40603e+06
25500 151.96 72.8073 217.615 2.40765e+06
26000 151.96 72.8066 217.476 2.40609e+06
26500 151.991 72.7747 217.696 2.40795e+06
27000 152.048 72.752 217.668 2.4078e+06
27500 152.194 72.761 217.386 2.40729e+06
28000 152.052 72.7572 217.405 2.40512e+06
28500 152.108 72.8174 217.478 2.40881e+06
29000 151.994 72.7836 217.451 2.40558e+06
29500 152.065 72.7295 217.682 2.40748e+06
30000 152.055 72.7702 217.798 2.40995e+06
30500 152.068 72.7625 217.705 2.40887e+06
31000 152.103 72.8867 217.4 2.41016e+06
31500 152.043 72.7871 217.392 2.40582e+06
32000 151.938 72.7001 217.758 2.40533e+06
32500 151.957 72.6597 217.94 2.4063e+06
33000 151.928 72.7554 217.943 2.40905e+06
33500 152.018 72.7356 217.95 2.4099e+06
34000 152.02 72.7392 217.751 2.40785e+06
34500 152.014 72.7998 217.654 2.40869e+06
35000 151.997 72.7211 217.824 2.4077e+06
35500 151.998 72.747 217.785 2.40813e+06
36000 151.945 72.6825 217.774 2.40504e+06
36500 152.035 72.7014 217.737 2.40668e+06
37000 151.97 72.738 217.648 2.40588e+06
37500 151.943 72.8174 217.542 2.40691e+06
38000 152.063 72.7779 217.604 2.40818e+06
38500 152.063 72.7507 217.639 2.40766e+06
39000 151.985 72.703 217.63 2.40476e+06
39500 151.878 72.7093 217.576 2.40269e+06
40000 152.073 72.6876 217.835 2.40791e+06
40500 151.996 72.6898 217.831 2.40672e+06
41000 152.083 72.729 217.544 2.40621e+06
41500 152.009 72.756 217.461 2.40501e+06
42000 151.935 72.742 217.576 2.40467e+06
42500 151.922 72.7366 217.514 2.40359e+06
43000 152.032 72.6548 217.558 2.40311e+06
43500 152.012 72.6555 217.711 2.4045e+06
44000 152.051 72.7093 217.766 2.40752e+06
44500 151.897 72.7239 217.786 2.40578e+06
45000 151.9 72.6671 217.664 2.4026e+06
45500 151.811 72.6857 217.682 2.402e+06
46000 151.815 72.5914 217.752 2.39973e+06
46500 151.772 72.6604 217.78 2.40164e+06
47000 151.915 72.6411 217.651 2.40185e+06
47500 152.011 72.5735 217.573 2.40026e+06
48000 151.975 72.6278 217.482 2.40047e+06
48500 151.938 72.6528 217.582 2.40183e+06
49000 151.874 72.5937 217.654 2.39965e+06
49500 151.926 72.5995 217.694 2.40111e+06
50000 151.926 72.5622 217.85 2.4016e+06
