# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -53.2461 -17.7953 -156.017 14.0737 4.7489 -145.505 -2.13721
1000 -1.26603 -0.724354 -5.5406 2.46686 6.19874 -136.586 -2.56683
1500 -0.764396 -0.624703 -3.44584 1.77735 7.46667 -89.2772 14.2674
2000 -2.36265 -3.69013 -0.430584 -2.96725 8.89339 17.1249 6.89983
2500 0.174479 3.12524 -3.13403 0.532229 -1.98946 80.229 -12.1296
3000 2.1337 0.936763 2.41575 3.04858 -1.43255 38.221 -30.8394
3500 0.819261 2.03147 -1.53523 1.96155 5.15831 -34.0729 -24.1149
4000 0.655544 -1.99003 1.15963 2.79704 3.14698 -98.6465 -7.78291
4500 0.386031 1.47912 0.809313 -1.13034 -4.82915 -64.8832 3.40139
5000 -0.250342 1.40789 -0.99721 -1.1617 -11.8788 -29.8585 15.719
5500 2.0854 -0.225705 2.79547 3.68643 -1.20445 -0.822225 3.46
6000 -0.149708 0.015971 0.374131 -0.839227 -7.68468 6.08555 13.4784
6500 1.76416 2.48794 0.821916 1.98264 -9.7315 10.9592 0.142708
7000 2.44755 2.56118 3.61265 1.16883 -5.40192 -6.25923 -4.13008
7500 0.566234 0.372447 0.976234 0.35002 3.02973 -28.909 6.64587
8000 0.151971 0.741012 -0.0967291 -0.188369 1.84969 -63.7926 6.50553
8500 0.232794 0.691147 -1.30861 1.31584 -3.36043 -33.5862 7.23621
9000 3.24406 3.19154 3.5225 3.01815 -1.13662 15.6283 4.12425
9500 -2.16784 -3.23064 -2.0239 -1.24899 1.01499 -16.3806 10.3377
10000 2.02459 0.967467 5.29531 -0.188999 6.10502 -27.0406 21.5077
10500 1.2736 3.6614 -1.65731 1.81671 6.27168 1.35215 15.7066
11000 2.48496 0.411608 2.06853 4.97474 6.77717 5.97964 9.02657
11500 -0.340728 1.71937 -1.36083 -1.38073 2.17308 -26.2605 13.6885
12000 0.0440008 -0.368455 2.20783 -1.70737 -0.72054 -28.4803 11.1213
12500 1.84042 0.993251 1.25356 3.27446 13.1315 -4.63986 26.8111
13000 0.388851 -0.401993 0.651773 0.916774 10.5871 -1.43561 28.0838
13500 2.25003 3.84657 1.69804 1.20549 2.40493 -19.242 37.41
14000 1.39754 0.924051 2.14992 1.11865 6.57288 -4.8288 22.6296
14500 1.08586 1.00243 -0.352868 2.60802 -1.54595 -29.4803 20.8752
15000 0.412408 1.25881 0.571139 -0.592722 -6.20268 -9.87218 24.9415
15500 -0.563491 -3.09836 2.58266 -1.17478 -0.392654 -2.4963 39.0802
16000 1.87962 2.3437 -0.945635 4.24079 11.4481 19.007 31.7053
16500 2.33194 3.94462 3.65333 -0.60213 -1.90028 -23.222 26.6706
17000 0.65865 1.8853 1.26586 -1.17521 7.53715 4.10738 24.208
17500 1.10938 -1.10748 3.09692 1.33871 3.49314 11.0182 18.1548
18000 1.07937 2.41026 -0.984942 1.81279 6.55125 -14.9676 17.6801
18500 1.04236 0.986549 0.75346 1.38706 -1.07711 -10.0493 19.5691
19000 1.62364 0.937306 3.23598 0.697645 -5.68049 5.7721 21.0689
19500 0.0381855 1.20919 -3.70785 2.61322 -12.1918 8.21904 15.7676
20000 1.18016 -0.408794 4.39477 -0.445502 -12.8934 2.65414 10.1152
20500 0.142371 2.47239 -0.781552 -1.26373 -0.518161 27.132 8.8124
21000 0.791865 0.632816 -0.402293 2.14507 0.271402 45.1225 1.35957
21500 0.0662877 1.78083 -1.93613 0.354163 3.53219 -13.0903 19.3084
22000 3.63527 2.19575 3.43165 5.27842 -0.0590343 -32.0718 14.6337
