# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -51.5735 -9.10953 -152.967 7.35546 16.4785 -130.967 8.79441
1000 -2.63162 -5.41323 -10.0977 7.61605 17.925 -118.979 -23.5135
1500 -1.10592 -0.551442 -0.797318 -1.96899 29.804 -132.92 -35.681
2000 -0.711966 -1.8483 -0.0229774 -0.264619 36.929 -21.1238 -36.4179
2500 -0.0805398 0.111266 -3.53196 3.17907 36.2585 35.0349 -27.1886
3000 1.3861 2.83247 1.51087 -0.185051 26.4492 33.6236 -11.7041
3500 1.21691 0.615106 3.54235 -0.506736 29.1833 -9.4305 -9.52374
4000 1.65941 1.46016 1.08297 2.43509 27.8475 -22.1298 -3.72146
4500 0.327199 0.371663 -0.307767 0.917702 36.0945 -39.6445 9.68289
5000 1.67675 -0.153857 3.52057 1.66353 19.6602 -64.3731 11.4839
5500 0.00330672 1.25775 -0.354537 -0.893297 18.2397 -42.6189 23.6182
6000 0.654591 2.57614 -1.31586 0.703493 19.0435 -24.0938 0.979154
6500 1.4377 0.479648 1.5795 2.25395 0.464912 -26.5163 -0.194026
7000 -0.453551 -2.47873 -0.471005 1.58909 7.35479 -12.059 -10.4483
7500 2.10303 2.98947 3.39623 -0.0766103 7.91181 -11.2668 -4.99995
8000 2.50708 4.49239 2.07537 0.953482 14.0215 3.37765 -1.66482
8500 1.52362 -1.28079 1.76368 4.08796 14.3861 -39.5299 -2.9972
9000 0.91038 4.36343 -1.38701 -0.245282 15.072 -48.8717 -11.4481
9500 -1.17716 -5.23912 3.21245 -1.50481 14.5022 -24.3566 -4.42264
10000 2.6767 4.51177 -0.391612 3.90994 13.961 -41.8114 -6.8602
10500 -1.214 -1.38753 0.602463 -2.85693 19.3473 5.00674 6.49621
11000 0.0427343 -0.965011 -2.60979 3.703 8.47264 11.5474 22.1207
11500 2.24852 1.6179 5.00808 0.119586 5.91891 -17.9539 32.4533
12000 1.62531 3.07722 1.58523 0.213471 1.34426 -6.29228 9.66313
12500 0.949417 0.300036 0.401875 2.14634 2.61187 16.2706 -5.67091
