# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.467 75.0396 217.195 2.50125e+06
1000 153.45 73.671 217.491 2.45869e+06
1500 152.797 73.2904 218.187 2.44338e+06
2000 152.547 73.1722 217.971 2.43304e+06
2500 152.167 73.1461 217.858 2.42484e+06
3000 152.17 73.0053 217.865 2.42032e+06
3500 152.199 73.0142 217.63 2.41845e+06
4000 152.3 73.108 217.375 2.42033e+06
4500 152.32 73.1146 217.726 2.42476e+06
5000 152.339 73.0015 217.927 2.42356e+06
5500 152.129 73.0987 217.808 2.42211e+06
6000 152.126 73.051 217.694 2.41921e+06
6500 152.107 72.8952 217.824 2.4152e+06
7000 152.051 72.9415 217.9 2.41669e+06
7500 152.023 72.92 217.833 2.41478e+06
8000 152.1 72.9877 217.823 2.41814e+06
8500 152.284 72.9846 217.932 2.42218e+06
9000 152.305 73.0935 217.882 2.42558e+06
9500 152.372 73.1169 217.538 2.42358e+06
10000 152.126 73.1451 217.561 2.42086e+06
10500 152.037 73.0683 217.768 2.4192e+06
11000 152.051 73.0313 217.61 2.41645e+06
11500 152.044 72.9147 217.691 2.41336e+06
12000 152.118 73.0068 217.463 2.41507e+06
12500 152.147 73.0328 217.405 2.41573e+06
13000 152.125 72.9475 217.73 2.41618e+06
13500 152.065 72.9943 217.765 2.41717e+06
14000 152.063 73.0345 217.264 2.4129e+06
14500 152.047 73.0623 217.19 2.41274e+06
15000 152.172 72.9916 217.409 2.41481e+06
15500 152.183 73.0413 217.306 2.4155e+06
16000 152.266 73.0118 217.37 2.41655e+06
16500 152.269 73.019 217.66 2.42007e+06
17000 152.217 72.9789 217.573 2.41694e+06
17500 152.085 72.9991 217.413 2.41374e+06
18000 152.009 72.9504 217.643 2.41346e+06
18500 151.98 72.8857 217.797 2.41257e+06
19000 152.052 72.9255 217.607 2.41293e+06
19500 151.97 72.9859 217.476 2.41216e+06
20000 151.937 72.9019 217.755 2.41196e+06
20500 151.995 72.8349 217.924 2.41254e+06
21000 152.005 72.8887 217.97 2.41498e+06
21500 151.996 72.8699 217.743 2.41171e+06
22000 152.013 72.9486 217.522 2.41214e+06
22500 152.009 72.9535 217.66 2.41376e+06
23000 151.98 72.9097 217.728 2.4126e+06
23500 152.103 72.9019 217.395 2.41061e+06
24000 152.125 72.959 217.271 2.41146e+06
24500 152.082 72.9948 217.281 2.41208e+06
25000 152.075 72.938 217.499 2.4125e+06
25500 152.053 72.8329 217.754 2.41152e+06
26000 152.048 72.8767 217.508 2.41015e+06
26500 151.964 72.9536 217.444 2.41066e+06
27000 152.007 73.0067 217.44 2.41304e+06
27500 152.066 72.9126 217.63 2.41297e+06
28000 152.111 72.9112 217.626 2.4136e+06
28500 152.049 72.8639 217.749 2.41241e+06
29000 152.041 72.8284 217.984 2.41372e+06
29500 152.01 72.7809 217.984 2.41165e+06
30000 151.886 72.8674 218.025 2.41301e+06
30500 152.037 72.7894 218.021 2.41276e+06
31000 151.953 72.8764 217.743 2.41123e+06
31500 151.981 72.9275 217.657 2.41241e+06
32000 152.068 72.8758 217.738 2.41299e+06
32500 152.042 72.8271 217.889 2.41264e+06
33000 152.053 72.8681 217.83 2.41351e+06
33500 152.07 72.9078 217.743 2.41413e+06
34000 152.015 72.9662 217.634 2.41398e+06
34500 151.991 72.9207 217.56 2.41129e+06
35000 152.003 72.93 217.581 2.41202e+06
35500 152.035 72.9508 217.725 2.4148e+06
36000 152.05 72.8942 217.645 2.41227e+06
36500 152.2 72.9795 217.257 2.41318e+06
37000 152.142 73.0151 217.189 2.41268e+06
37500 152.133 72.9833 217.37 2.4135e+06
38000 152.101 73.0285 217.452 2.41539e+06
38500 151.989 72.9792 217.521 2.41275e+06
39000 152.051 73.0423 217.353 2.41396e+06
39500 152.144 72.9282 217.589 2.41428e+06
40000 152.149 72.9213 217.885 2.4174e+06
40500 152.108 72.9869 217.528 2.41497e+06
41000 152.042 72.9489 217.245 2.40953e+06
41500 152.017 73.0204 217.447 2.41373e+06
42000 151.968 72.9337 217.71 2.41301e+06
42500 152.02 72.9226 217.658 2.41289e+06
43000 152.256 72.888 217.582 2.41465e+06
43500 152.102 72.9597 217.585 2.41461e+06
44000 152.117 72.9624 217.586 2.41496e+06
44500 151.983 72.9747 217.867 2.41635e+06
45000 152.087 72.8417 218.002 2.41509e+06
45500 152.066 73.0383 217.538 2.41611e+06
46000 152.186 72.9954 217.388 2.41495e+06
46500 152.179 72.9111 217.584 2.4142e+06
47000 152.088 72.8962 217.639 2.41289e+06
47500 152.003 72.9499 217.605 2.41293e+06
48000 152.117 72.7986 217.654 2.41029e+06
48500 152.126 72.8669 217.667 2.41283e+06
49000 152.049 72.8935 217.776 2.4137e+06
49500 152.204 72.9478 217.706 2.41717e+06
50000 152.203 72.9774 217.484 2.41569e+06
50500 152.096 72.9034 217.184 2.40821e+06
51000 151.968 72.9157 217.663 2.41188e+06
51500 152.006 72.8337 218.021 2.41374e+06
52000 152.017 72.7855 217.985 2.41193e+06
52500 152.036 72.8489 217.654 2.41066e+06
53000 152.167 72.9299 217.307 2.41157e+06
53500 152.139 72.8597 217.569 2.41171e+06
54000 152.095 72.9364 217.781 2.41589e+06
54500 152.048 72.842 217.859 2.41288e+06
55000 152.098 72.9067 217.699 2.41406e+06
55500 152.131 72.8431 217.428 2.40947e+06
56000 152.063 72.7923 217.493 2.40743e+06
56500 152.048 72.8526 217.681 2.41127e+06
57000 151.952 72.7956 217.814 2.40933e+06
57500 152.009 72.854 217.653 2.41039e+06
58000 151.974 72.8749 217.624 2.41021e+06
58500 151.944 72.8527 217.766 2.41056e+06
59000 151.977 72.8516 217.828 2.41175e+06
59500 152.018 72.785 217.779 2.40964e+06
60000 151.965 72.9258 217.533 2.41073e+06
60500 152.054 72.9474 217.462 2.41207e+06
61000 151.997 72.8463 217.525 2.40852e+06
61500 151.877 72.8425 217.764 2.40913e+06
62000 151.943 72.8179 217.659 2.40822e+06
62500 151.94 72.7913 217.594 2.40656e+06
63000 151.927 72.8612 217.629 2.40906e+06
63500 151.912 72.8721 217.505 2.40782e+06
64000 151.924 72.8774 217.334 2.40628e+06
64500 151.95 72.8464 217.576 2.40835e+06
65000 151.902 72.8939 217.474 2.40804e+06
65500 152.116 72.7897 217.51 2.40837e+06
66000 152.104 72.8052 217.709 2.41091e+06
66500 152.098 72.9074 217.376 2.41049e+06
67000 152.076 72.9704 217.117 2.40936e+06
67500 152.11 72.8783 217.34 2.40932e+06
68000 152.147 72.9264 217.392 2.41208e+06
68500 152.12 72.9971 217.297 2.41294e+06
69000 152.102 72.972 217.213 2.4109e+06
69500 152.021 73.011 217.414 2.41312e+06
70000 152.076 72.9866 217.453 2.41362e+06
70500 152.019 73.0399 217.402 2.41391e+06
71000 152.12 73.0443 217.178 2.41317e+06
71500 152.096 73.0566 217.022 2.41147e+06
72000 152.125 72.9919 217.174 2.41147e+06
72500 152.134 72.9549 217.259 2.41134e+06
73000 152.095 72.896 217.445 2.41084e+06
73500 152.116 72.884 217.505 2.41145e+06
74000 152.077 72.9507 217.301 2.41076e+06
74500 151.952 72.978 217.32 2.4099e+06
75000 152.081 72.9149 217.364 2.41033e+06
75500 152.063 72.9221 217.319 2.40979e+06
76000 152.123 72.9583 217.234 2.411e+06
76500 152.11 72.9028 217.402 2.41082e+06
77000 152 72.9037 217.649 2.41184e+06
77500 151.906 72.843 217.725 2.40918e+06
78000 151.797 72.8876 217.546 2.40695e+06
78500 151.791 72.8507 217.648 2.40677e+06
79000 151.8 72.8692 217.616 2.40716e+06
79500 151.954 72.917 217.384 2.40863e+06
80000 151.979 72.8789 217.421 2.40817e+06
80500 151.842 72.8205 217.549 2.40548e+06
81000 151.844 72.8461 217.708 2.40813e+06
81500 151.965 72.8963 217.637 2.4109e+06
82000 151.955 72.979 217.368 2.41051e+06
82500 152.094 72.9278 217.167 2.40879e+06
83000 151.979 72.8963 217.508 2.40971e+06
83500 151.817 72.9008 217.71 2.40951e+06
84000 151.799 72.8679 217.686 2.40788e+06
84500 151.974 72.8385 217.407 2.40661e+06
85000 152.005 72.9019 217.302 2.40802e+06
85500 151.935 72.8954 217.454 2.40839e+06
86000 152.024 72.9541 217.583 2.41316e+06
86500 152.012 72.925 217.483 2.41091e+06
87000 151.907 72.9113 217.564 2.40969e+06
87500 151.944 72.8897 217.571 2.40963e+06
88000 151.877 72.8529 217.762 2.40946e+06
88500 151.959 72.9099 217.485 2.40957e+06
89000 151.93 72.8754 217.511 2.40827e+06
89500 151.964 72.8878 217.362 2.40758e+06
90000 152.056 72.9607 217.207 2.40972e+06
90500 152.014 72.9766 217.397 2.41168e+06
91000 151.97 72.8773 217.562 2.40953e+06
91500 151.934 72.9394 217.245 2.4075e+06
92000 151.915 72.8672 217.33 2.40576e+06
