# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -49.4619 -5.30828 -152.474 9.39695 11.5175 -164.692 -1.3852
1000 -4.35613 -0.89759 -9.03785 -3.13294 14.0565 -116.15 -12.9649
1500 -1.03107 0.156315 -1.81966 -1.42987 16.8633 -94.5708 1.76654
2000 0.557116 2.24167 -2.9557 2.38538 15.0278 -40.8619 9.19135
2500 -1.9931 -3.83322 -0.0102503 -2.13582 7.85503 24.7765 5.91
3000 0.98435 2.69622 -0.366531 0.623358 25.0387 16.2779 -7.91571
3500 1.44107 1.61187 -1.11569 3.82705 23.5656 -43.6389 -16.2901
4000 0.64635 -2.88821 3.27627 1.55099 26.5808 -73.6688 -11.6732
4500 2.03483 3.80935 0.645115 1.65002 22.8929 -79.3452 -3.20619
5000 1.65766 0.702389 3.07794 1.19266 25.6672 -77.7394 -0.199149
5500 -0.884084 -0.01399 -2.26711 -0.371147 18.6237 -50.1953 0.150943
6000 1.4004 0.930814 2.2224 1.04797 17.4987 -5.11411 1.12553
6500 0.952379 1.9638 0.0778189 0.815515 22.6609 -0.220362 11.6958
7000 1.30916 2.34776 1.22898 0.350727 22.5262 -33.1237 13.5243
7500 0.7889 -1.98278 1.99111 2.35837 28.1277 -60.4367 2.89529
8000 1.65661 3.31357 -0.361027 2.01728 18.5263 -68.0651 -5.97718
8500 -0.182801 -0.541166 0.148981 -0.156218 9.33879 -56.5743 -15.7967
9000 1.33573 3.07314 0.610869 0.323184 29.3825 -40.2263 2.2248
9500 0.0166391 -0.706654 1.4136 -0.657032 22.6387 -49.5401 9.03715
10000 3.06793 3.48312 2.55537 3.16529 20.475 -15.3352 5.92822
10500 -0.0660386 -2.09574 -0.026044 1.92367 32.3744 -11.3982 -5.24893
11000 1.71335 3.37466 1.24359 0.52179 33.1066 -55.2715 -1.35175
11500 1.01012 -0.142936 2.22396 0.94935 24.6567 -57.4122 -1.0436
12000 1.02725 -0.169546 0.715714 2.53557 9.6817 -38.9891 7.97014
12500 -0.497037 0.419379 -0.505865 -1.40462 13.1503 -32.0549 16.0722
13000 0.424879 -0.0809635 0.163086 1.19252 24.4158 -9.17672 4.38669
13500 1.98198 3.33517 2.53383 0.0769515 13.5628 -15.3962 15.1301
14000 -0.846469 -0.993068 -0.903722 -0.642616 8.79652 -59.7308 15.9086
14500 1.56058 1.17811 -1.55512 5.05874 4.25191 -22.4282 30.3821
15000 0.747721 -0.597404 3.50367 -0.663105 -6.79433 -28.0068 15.655
15500 1.95709 3.47377 1.88939 0.508125 6.09732 -33.4474 12.8865
16000 0.980464 0.459953 0.235414 2.24603 4.55786 14.5814 12.1337
16500 1.09892 3.19582 -0.24797 0.348905 -6.08396 -1.6403 -0.906905
17000 0.963282 -0.198311 3.39808 -0.30992 1.12424 -27.5381 -4.63083
17500 -0.457139 -2.31606 -2.03932 2.98396 5.00222 -6.40456 6.43604
18000 3.24442 4.0897 4.54758 1.09596 -5.84482 -36.7697 18.3681
18500 0.899026 0.606577 0.718261 1.37224 -3.1949 -34.3329 30.5225
19000 -0.40365 -1.03878 -0.488565 0.316392 -3.38416 -16.1121 31.3808
19500 1.66625 2.48993 1.85564 0.653179 -2.87373 -23.7874 30.5891
20000 1.64281 2.92073 -0.076718 2.08441 -1.52776 -40.8095 12.596
20500 -0.0816655 -1.55971 2.09221 -0.777493 -10.2137 -24.5345 -8.11376
21000 1.79423 0.0464469 1.98846 3.34778 2.51316 -2.53236 -7.59338
21500 0.896518 1.97642 -1.42403 2.13717 -5.26646 -24.9877 -3.32818
22000 1.15703 1.55601 1.09723 0.817848 -3.89423 -20.7545 7.10573
22500 1.37609 -0.19629 2.95231 1.37223 -12.2964 -42.8714 17.8185
23000 0.9622 2.93153 1.00993 -1.05487 -1.14363 -51.7129 11.4892
23500 -0.733103 0.22728 -1.07219 -1.3544 -0.872786 -33.476 13.3727
24000 1.73085 1.53199 0.448383 3.21218 -11.1502 -23.2494 6.60113
24500 -0.0512996 -2.80176 1.3318 1.31607 10.8569 -20.7084 17.7377
25000 0.928176 2.83675 1.12396 -1.17618 -15.9361 -15.653 9.59071
25500 3.13264 -0.145997 3.74404 5.79987 -0.326794 3.00648 15.6691
26000 -0.574373 3.49016 -4.22194 -0.99133 -11.7088 -21.439 20.2911
26500 0.358782 -1.46562 4.32801 -1.78604 -2.38588 -50.4643 14.3625
27000 -0.154316 0.190483 -1.55749 0.904055 4.85873 -16.7581 26.6819
27500 2.71555 2.25075 3.96121 1.93469 2.3506 -10.6619 11.8317
28000 0.935841 0.413467 -1.09588 3.48994 1.654 -38.6107 4.67729
28500 0.645125 1.13577 0.220483 0.579122 -5.17657 -24.6033 6.09684
29000 0.712151 -0.222292 3.42861 -1.06987 -1.00379 -13.5769 -9.82066
29500 1.62565 3.79666 0.572248 0.508035 3.1069 -16.7613 -4.76715
30000 3.53082 4.54743 2.18697 3.85807 3.62698 -39.0581 1.86395
30500 -0.748748 -2.02266 -0.432825 0.20924 -5.98019 -8.38369 -0.453456
31000 1.12638 -1.58074 2.21093 2.74895 -4.32017 -56.0002 3.92587
31500 1.7935 3.99323 2.64915 -1.26189 3.31837 -24.5559 15.7038
32000 1.78501 1.98578 1.57857 1.79068 1.46338 -8.35942 5.43677
32500 -2.29329 -1.49695 -4.89435 -0.488563 11.6211 -10.1867 8.63795
33000 2.61428 1.82431 5.07719 0.941328 11.1625 -29.6721 -10.6186
33500 1.60119 -1.46442 1.9306 4.3374 4.54952 -37.3438 -10.1541
34000 -0.888402 -0.505496 -0.138124 -2.02159 12.8719 -12.2381 -14.0679
34500 2.10109 2.15665 1.69982 2.44679 3.53301 -20.1649 -15.7681
35000 0.927062 0.964606 0.519562 1.29702 -10.0303 -8.76613 -3.79147
35500 1.52612 1.00611 2.15166 1.4206 -9.5839 14.161 5.60886
36000 1.93599 0.808572 1.45255 3.54684 1.54537 -29.6287 27.5114
36500 -0.590136 0.85303 -0.620393 -2.00304 1.07827 -23.9739 8.51451
37000 2.56522 5.27973 0.123732 2.29221 3.5596 -18.3172 14.2013
37500 -0.0595866 -1.4215 2.25916 -1.01642 -4.72041 0.34513 -10.0081
38000 1.63801 1.80027 0.5014 2.61235 2.644 -9.88871 -24.6923
38500 -0.116174 -0.0714546 -0.974009 0.696941 3.81616 -5.35253 -29.519
39000 1.61141 1.38935 3.78925 -0.344374 -9.24921 -7.7048 -20.0371
39500 0.842997 0.401148 0.785141 1.3427 7.48932 8.7956 8.41787
40000 0.285989 0.39769 0.116444 0.343833 3.55025 -12.2612 0.9993
