# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -50.6841 -16.2265 -143.626 7.80066 7.53174 -150.99 6.00151
1000 -3.00123 -6.38238 -7.22873 4.60741 2.43648 -103.755 3.96715
1500 -0.230766 0.00116128 -4.22642 3.53296 -3.4943 -63.8344 20.8767
2000 -0.423373 -3.49158 -0.580667 2.80213 -11.9441 -5.66463 24.183
2500 1.01836 2.87355 0.447419 -0.265894 -7.78801 37.5964 18.2636
3000 0.853896 2.15639 0.220057 0.185239 -8.49164 16.1742 0.989587
3500 2.18693 1.34709 3.62636 1.58734 8.94687 15.992 -3.02248
4000 -0.536741 2.99714 -4.727 0.119636 7.11609 -41.6691 5.59803
4500 1.81348 1.1887 3.61569 0.636064 -8.48577 -39.7399 10.027
5000 0.494754 -4.41071 2.99575 2.89922 -2.74287 0.727055 10.7844
5500 -0.159167 2.58068 -3.86659 0.808407 -5.42612 -35.4354 18.5358
6000 2.1359 4.40688 1.97898 0.0218344 -6.31668 -42.4362 23.6948
6500 0.0849 1.07019 -1.00659 0.191096 -2.59072 -24.6474 19.3887
7000 2.02817 -0.653462 5.58825 1.14971 21.799 -36.09 25.2449
7500 -0.958848 -1.20215 -2.30056 0.626161 -1.00758 -35.5065 9.76182
8000 2.33171 3.31521 3.38711 0.292793 -5.37042 -17.0193 11.4702
8500 0.0464175 -0.792565 -1.03641 1.96822 -0.125749 8.39584 25.0162
9000 2.2899 3.43471 1.11202 2.32298 3.69146 7.30789 25.2671
9500 -0.299019 -0.41606 -0.97999 0.498994 -1.44746 6.27399 17.0702
10000 1.83785 1.08036 4.06058 0.372598 8.44946 -45.492 33.2409
10500 2.16031 2.46204 2.62481 1.39408 4.51556 -41.1764 19.3944
11000 0.46074 1.83187 -2.39516 1.94551 -1.66767 -35.3056 6.85192
11500 -0.25882 1.8657 0.919544 -3.5617 -3.35934 -2.75384 -0.771102
12000 1.44863 -2.18545 1.83071 4.70062 8.16869 10.7249 -5.59895
12500 1.19242 2.43659 1.57319 -0.432508 -2.70941 30.6677 -8.56291
13000 2.61159 2.17452 2.6901 2.97014 -6.1859 7.72723 -13.8004
13500 -1.37976 -1.09765 -1.79227 -1.24935 0.250791 -10.2541 5.0173
14000 1.64038 -1.2991 1.96689 4.25335 -1.406 -29.7369 18.2131
14500 1.04421 5.29945 -2.10943 -0.0573969 -3.06535 -37.1464 8.5046
15000 1.338 -0.0625424 4.48376 -0.407227 1.27195 -34.6319 5.05906
15500 0.738384 -0.112122 2.00516 0.322115 -6.03222 -22.7711 -0.818566
16000 0.490565 1.85414 -2.30845 1.926 -5.48764 -24.322 -24.8726
16500 0.691181 -1.56706 2.66388 0.976716 9.41074 -32.2177 -24.6535
17000 2.40078 3.36742 2.62877 1.20615 -8.14738 -13.4627 -10.0282
17500 -0.604982 0.530789 -0.073337 -2.2724 4.47616 -35.9033 0.55299
18000 2.6414 0.550293 1.64383 5.73008 4.32009 -32.5666 -0.241396
18500 0.676324 2.97894 1.24018 -2.19015 -9.38289 -10.0642 -12.7631
