# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
200000 -2.85614 -7.60145 6.34222 -7.3092 -1.97597 7.91094 -5.94252
400000 -13.3353 -17.7723 1.75384 -23.9873 0.410154 9.3688 -3.15599
600000 -17.5099 -23.1098 -0.310486 -29.1095 -1.1161 8.17007 -3.1647
800000 -21.8699 -26.3011 -6.34492 -32.9638 -2.57777 8.77574 -5.69974
1000000 -26.648 -29.7261 -10.8704 -39.3476 -1.51906 10.1193 -4.92887
1200000 -27.9186 -31.9208 -12.8895 -38.9456 -0.141631 8.98991 -4.94791
1400000 -32.9071 -38.11 -13.7854 -46.8259 -2.41228 13.4442 -4.847
1600000 -35.3867 -42.2437 -14.2873 -49.6292 -2.64125 7.81006 -1.24119
1800000 -38.5966 -42.8447 -19.3333 -53.6119 -1.25782 11.2282 -2.56036
2000000 -40.9346 -44.2389 -18.4709 -60.094 -0.0223982 13.3947 0.152103
2200000 -44.1852 -45.019 -24.1307 -63.4058 -1.20871 14.4531 -2.4417
2400000 -44.1192 -46.5143 -22.8308 -63.0125 -2.90221 13.3256 -5.96295
2600000 -45.8499 -47.4008 -23.8905 -66.2584 -4.00282 13.7329 -7.21897
2800000 -47.22 -48.2246 -25.8668 -67.5685 -4.15945 17.8849 -5.57089
3000000 -47.2836 -48.7179 -26.1614 -66.9715 -4.10391 16.5397 -7.54764
3200000 -49.8013 -51.8316 -28.8286 -68.7436 -0.993645 14.0696 -4.61998
3400000 -46.2796 -65.4455 -24.1944 -49.1988 0.21566 13.9711 -1.87689
3600000 -47.6087 -71.3307 -25.9454 -45.5501 -1.02171 13.437 -4.62326
3800000 -47.2623 -73.1095 -23.6691 -45.0084 -3.2159 8.50969 -7.55913
4000000 -49.8726 -74.2026 -28.2188 -47.1963 -4.57905 9.69057 -7.01327
4200000 -52.9299 -75.5856 -28.177 -55.0271 -5.86385 12.773 -6.43006
4400000 -54.3721 -77.9281 -28.1905 -56.9977 -4.91831 8.11959 -3.52601
