# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -53.4109 -19.42 -149.05 8.23729 -0.530989 -134.455 6.50149
1000 -2.97769 -3.8312 -10.2832 5.18136 -6.55704 -96.2816 7.74934
1500 0.0431633 -0.640511 -0.695952 1.46595 -2.11832 -85.0257 -2.48113
2000 -0.58299 -2.41354 -0.517412 1.18198 -4.76678 -4.06717 -1.3144
2500 0.930934 3.17957 -1.25195 0.865175 11.5105 30.5434 -5.42937
3000 0.6629 1.69185 2.15982 -1.86296 -10.0174 28.8075 14.7988
3500 1.58912 -0.215333 1.12963 3.85305 -2.16691 -24.3442 31.4612
4000 3.06648 4.3296 2.34846 2.52138 -1.1143 -45.4796 20.7564
4500 -0.0222537 0.425416 -1.66793 1.17575 -0.542273 -57.9087 29.9252
5000 0.746484 0.0407923 0.978494 1.22017 0.0964265 -72.0115 17.0828
5500 -1.16219 -3.3043 -0.946073 0.763804 -3.92058 -60.9971 -2.52116
6000 1.26372 3.2024 0.845334 -0.256579 -5.11318 -24.8027 8.19365
6500 0.899729 1.43004 -0.28652 1.55566 -7.87235 -14.3855 2.9009
7000 0.592244 2.18214 1.84725 -2.25266 -6.72097 -16.4999 14.2292
7500 2.61105 0.371994 4.43214 3.029 -7.43312 -11.6012 16.3544
8000 1.76008 2.25483 0.48084 2.54457 -6.27739 -34.4579 23.0936
8500 -1.81468 -0.316931 -2.47945 -2.64766 -11.4752 -13.6649 4.95323
9000 2.28879 1.77608 1.41434 3.67594 -11.0514 -9.3929 14.6279
9500 0.83162 1.93468 0.155498 0.40468 6.57242 -33.2282 11.7042
10000 -0.186874 -1.37649 0.667384 0.148482 2.36561 -12.7021 0.0487675
10500 2.31399 2.76073 2.40549 1.77574 -1.79186 -30.2399 3.22125
11000 0.0112646 -0.697255 -0.112512 0.843561 -7.8194 -51.8857 -6.28259
11500 2.00519 1.36823 3.81411 0.833225 -3.60375 -18.8578 -7.13057
12000 -0.25425 1.50019 -1.70874 -0.5542 5.18563 -33.8242 -14.1223
12500 3.42024 3.39914 3.6545 3.20709 -6.80559 -27.3606 -15.2
13000 -1.93404 -0.555629 -4.52699 -0.719486 1.16279 -22.4462 2.39716
13500 4.06509 2.33905 5.84231 4.01391 -6.44416 3.23743 15.237
14000 -0.732706 -1.1569 0.0597841 -1.10101 3.34905 -11.5826 27.3557
14500 1.54907 3.37512 -1.97983 3.25193 12.635 -35.5669 11.3914
15000 -0.0811203 -1.48298 3.06202 -1.8224 11.3993 -39.6177 -2.4657
15500 2.18986 1.03821 3.30689 2.22448 10.0555 -31.1197 -6.97094
16000 -0.453253 0.951311 -1.11224 -1.19883 9.34924 26.9269 -0.030718
16500 0.978214 2.0258 -2.09182 3.00067 -0.538132 20.8271 -3.60128
17000 0.633212 -0.565071 3.41369 -0.948983 -5.04095 5.96455 7.64244
17500 1.50501 2.36218 1.42179 0.731064 8.20977 -22.575 14.6033
18000 1.24041 -0.384025 2.56842 1.53683 5.09636 -53.5009 8.69047
18500 -0.540408 1.69436 -4.28061 0.965022 -5.72842 -9.87075 -4.85941
19000 2.88787 -0.962683 5.00154 4.62474 10.9005 -22.7703 4.18462
19500 0.275876 0.628593 1.50654 -1.3075 10.3123 -0.166495 -6.05397
20000 0.785642 1.19639 0.0404745 1.12006 3.13206 45.6644 -4.15778
20500 1.43979 3.20467 0.513195 0.601505 7.95933 52.4677 1.9473
21000 1.04365 0.747311 0.432894 1.95075 -4.13337 1.01027 3.048
21500 1.63316 -0.517922 3.3034 2.11401 3.31305 -37.0874 6.90105
22000 0.564041 -0.0914125 2.19897 -0.415433 3.97859 -14.2271 1.29259
22500 1.04855 1.12871 0.528289 1.48864 -2.87545 -18.0065 -7.06025
23000 1.45299 3.2989 -0.334427 1.39449 5.15568 -7.73279 -6.78585
23500 -0.404067 -1.2592 -0.123272 0.17027 -3.8923 -7.3904 -14.1276
24000 1.70635 1.68165 2.59679 0.840601 -7.24593 -4.70764 -18.0885
24500 1.79457 4.24594 1.23004 -0.0922597 -3.48617 10.1176 -11.2897
25000 0.054669 -1.42263 1.03481 0.551826 -8.34473 23.577 -13.7376
25500 0.0982958 0.584094 -1.42679 1.13758 -14.3613 -4.30222 -19.7275
26000 0.801572 -2.09552 3.5363 0.963937 -9.395 -26.2731 -18.2191
26500 1.59997 3.71075 0.566336 0.522816 4.68861 -36.0714 0.64454
27000 1.30562 -0.284901 1.45188 2.74988 4.70038 5.58773 14.8036
27500 1.79387 4.27012 -0.412601 1.5241 -6.66644 2.28929 0.67965
28000 -0.369725 -2.72273 -0.676219 2.28978 4.63079 -28.2659 -19.6972
28500 2.22571 3.7125 2.03725 0.927398 -2.17514 -5.60648 -34.2189
29000 0.714216 1.19988 2.35794 -1.41517 -2.05526 30.3905 -34.2026
29500 -0.970854 0.0116857 -2.05707 -0.867182 -4.2788 -9.98381 -24.2616
30000 3.3085 2.1627 3.39836 4.36445 -3.20211 -10.2567 -26.0698
30500 0.823349 0.594994 2.90458 -1.02953 -10.2645 -6.23451 -18.1458
31000 0.98934 1.82133 -0.455302 1.60199 11.0342 24.8072 -29.2357
31500 1.3968 1.89505 0.104863 2.19048 -6.99783 22.2169 -39.6594
32000 0.551193 -1.16547 2.20134 0.617711 16.2588 -9.37832 -35.7123
32500 0.802299 0.594224 1.65121 0.161466 1.41481 16.8803 -30.1366
33000 1.26954 2.48011 1.62909 -0.300581 3.89513 46.0062 -23.1371
33500 0.261685 -1.10205 -0.676892 2.564 5.60918 20.674 -16.0377
34000 2.17175 1.81516 3.88742 0.81267 6.11026 6.68084 -18.3819
34500 0.253017 -0.413705 0.858857 0.313897 1.82606 -12.132 -11.1094
35000 0.568778 2.59471 -2.24458 1.3562 -12.3763 4.61149 -15.1309
35500 1.69718 2.3842 1.41662 1.29074 10.602 14.791 -16.2025
36000 -0.372078 0.104413 -0.966958 -0.25369 -1.01735 21.3472 -33.7473
36500 0.387303 0.0888821 0.301879 0.771148 5.55533 57.0168 -29.8822
37000 2.11788 -0.204494 4.95899 1.59913 2.40937 10.0679 -33.4112
37500 1.02558 2.61173 -1.91876 2.38376 17.2721 20.6876 -24.2768
38000 2.44717 3.10214 2.91556 1.32379 3.51411 -14.7062 -26.1853
