# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.144 75.1301 217.335 2.50063e+06
1000 153 73.742 217.605 2.45513e+06
1500 152.47 73.3147 218.21 2.43922e+06
2000 152.151 73.1166 218.109 2.42641e+06
2500 151.883 72.9993 218.184 2.41908e+06
3000 151.882 72.9277 217.955 2.41415e+06
3500 152 72.9991 217.997 2.41887e+06
4000 152.109 72.958 218.062 2.41996e+06
4500 152.118 73.0223 218.145 2.42315e+06
5000 152.098 72.9574 218.265 2.42201e+06
5500 152.049 72.8717 218.221 2.4179e+06
6000 152.05 72.8221 218.125 2.41521e+06
6500 151.971 72.8813 217.997 2.41451e+06
7000 151.911 72.8022 217.932 2.41021e+06
7500 152.039 72.8341 217.749 2.41126e+06
8000 152.068 72.891 217.796 2.41413e+06
8500 152.061 72.867 217.826 2.41356e+06
9000 152.13 72.8475 217.982 2.41574e+06
9500 152.076 72.8153 217.869 2.41257e+06
10000 152.038 72.9003 217.701 2.41291e+06
10500 151.983 72.8443 217.778 2.41103e+06
11000 152.108 72.8124 218.001 2.41443e+06
11500 152.14 72.8612 217.876 2.41518e+06
12000 152.221 72.8769 217.632 2.41427e+06
12500 152.08 72.8432 217.769 2.41245e+06
13000 152.048 72.8215 217.854 2.41216e+06
13500 152.015 72.7546 217.917 2.41012e+06
14000 152.015 72.8098 217.912 2.41188e+06
14500 151.999 72.8338 217.838 2.41162e+06
15000 152.181 72.777 217.652 2.41055e+06
15500 152.162 72.7899 217.645 2.4106e+06
16000 152.013 72.7899 217.541 2.40709e+06
16500 151.979 72.7404 217.738 2.40711e+06
17000 152.02 72.6541 217.897 2.40664e+06
17500 152.024 72.747 217.852 2.40929e+06
18000 152.127 72.7877 217.644 2.40997e+06
18500 152.189 72.8526 217.393 2.41032e+06
19000 151.963 72.7466 217.865 2.40844e+06
19500 152.011 72.7349 217.926 2.40951e+06
20000 151.914 72.7523 217.65 2.40549e+06
20500 151.926 72.856 217.465 2.40705e+06
21000 151.995 72.885 217.548 2.41002e+06
21500 152.027 72.8215 217.693 2.41003e+06
22000 152.038 72.9083 217.564 2.41165e+06
22500 151.996 72.8937 217.65 2.41146e+06
23000 152.064 72.8704 217.545 2.41061e+06
23500 152.022 72.8735 217.51 2.40966e+06
24000 152.125 72.8026 217.53 2.40917e+06
24500 152.107 72.8877 217.47 2.41104e+06
25000 152.117 72.8829 217.337 2.40956e+06
25500 152.092 72.8703 217.423 2.4097e+06
26000 152.118 72.7734 217.536 2.40815e+06
26500 152.095 72.8632 217.595 2.41141e+06
27000 152.147 72.8955 217.33 2.41036e+06
27500 152.033 72.9061 217.256 2.40809e+06
28000 152.063 72.8475 217.658 2.41109e+06
28500 152.017 72.7896 217.845 2.41052e+06
29000 152.004 72.8031 217.454 2.40643e+06
29500 151.879 72.8516 217.498 2.40653e+06
30000 152.01 72.8089 217.466 2.40684e+06
30500 151.99 72.8488 217.486 2.40807e+06
31000 152.121 72.9527 217.1 2.40929e+06
31500 152.144 72.8931 217.151 2.40825e+06
32000 152.253 72.8713 217.462 2.41272e+06
32500 152.221 72.9062 217.358 2.41222e+06
33000 152.148 72.8845 217.3 2.4097e+06
33500 152.188 72.9318 217.366 2.41261e+06
34000 152.182 72.9251 217.297 2.41153e+06
34500 152.157 72.9504 217.171 2.41057e+06
35000 152.151 72.8951 217.254 2.40958e+06
35500 152.137 72.8127 217.421 2.40849e+06
36000 151.994 72.8492 217.343 2.40657e+06
36500 151.98 72.8874 217.192 2.40592e+06
37000 152.043 72.9255 217.2 2.40828e+06
37500 152.107 72.9105 217.364 2.4106e+06
38000 152.144 72.9031 217.694 2.41461e+06
38500 152.072 72.8782 217.766 2.41345e+06
39000 152.053 72.8143 217.574 2.40889e+06
39500 151.851 72.7422 217.589 2.40348e+06
40000 151.887 72.7207 217.791 2.40557e+06
40500 151.899 72.6807 217.966 2.40637e+06
41000 151.966 72.7547 217.643 2.4063e+06
41500 152.034 72.8158 217.398 2.4067e+06
42000 152.094 72.7883 217.465 2.40747e+06
42500 152.068 72.6946 217.714 2.40673e+06
43000 152.006 72.7833 217.68 2.4083e+06
43500 152.038 72.8207 217.543 2.40853e+06
44000 152.16 72.7767 217.442 2.40788e+06
44500 152.192 72.7922 217.451 2.40902e+06
45000 152.192 72.8584 217.347 2.41005e+06
45500 152.134 72.8272 217.272 2.40726e+06
