# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -48.3095 -25.2721 -140.647 20.9906 -1.05466 -152.068 12.3002
1000 -2.57763 -3.33424 -8.70528 4.30662 -3.51436 -132.986 15.3344
1500 -1.37874 -2.43536 1.02238 -2.72324 -12.6633 -98.9068 4.28769
2000 -0.66139 -2.96446 -0.890169 1.87045 -17.4102 14.3232 -8.62613
2500 -0.169984 1.69625 -3.22061 1.01441 0.401642 79.9245 -13.1345
3000 1.58006 -0.418469 3.90684 1.2518 6.62476 50.905 2.97273
3500 1.06221 3.96425 -2.97468 2.19707 5.93047 -18.5407 -0.622419
4000 2.37567 1.12411 4.0059 1.997 8.74773 -57.4233 11.8696
4500 -0.844408 -1.45548 -1.93488 0.857133 0.186156 -65.7686 6.19515
5000 0.902672 2.52371 0.743662 -0.559355 -6.37988 -68.2684 1.34213
5500 -0.0481155 -0.371617 0.393106 -0.165836 -7.70977 -50.4445 -9.63131
6000 2.56609 1.89777 4.26006 1.54045 -4.73314 -16.0067 -9.247
6500 -1.05575 -0.626275 -2.7873 0.24633 3.79735 -24.9698 3.91786
7000 1.76481 1.47395 1.75758 2.0629 3.03431 4.86515 -1.35205
7500 2.19032 1.53867 2.5416 2.49068 -2.22886 -37.2624 8.2637
8000 1.73846 1.30895 2.11434 1.7921 8.60424 -21.8858 -12.3474
8500 0.959638 0.765699 0.701525 1.41169 9.24231 -18.3246 -21.2041
9000 -0.370942 0.532767 0.567183 -2.21278 -8.48811 -20.499 -22.2372
9500 1.23157 0.850722 -0.0544623 2.89845 -11.3174 -38.157 -18.3439
10000 -0.481405 0.288154 0.130388 -1.86276 -8.64121 -21.1597 -3.5923
10500 1.2929 1.08035 -0.301049 3.09939 1.02953 -26.9106 -5.19288
11000 1.90656 0.408995 4.55006 0.760633 -2.01346 -34.3133 0.570262
11500 1.2809 3.63595 -2.12017 2.32693 10.5042 -2.13828 12.7701
12000 -0.713754 -0.420289 -0.521772 -1.1992 -3.76933 -36.4566 -0.525787
12500 2.35602 2.13319 1.59213 3.34275 0.126718 -49.9982 8.67228
13000 -0.188029 -2.20233 2.32228 -0.684035 -7.14175 -33.8417 -13.9677
13500 1.75107 4.72986 -0.517505 1.04086 -4.56325 -5.18137 -17.9488
14000 0.741688 -0.602538 0.90411 1.92349 9.86903 -18.6663 -24.9181
