# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 152.821 75.2418 217.767 2.50402e+06
1000 152.575 73.9288 218.522 2.46485e+06
1500 152.135 73.5094 218.871 2.44772e+06
2000 151.627 73.3413 218.46 2.42939e+06
2500 151.274 73.2066 218.414 2.41878e+06
3000 151.275 73.1617 218.531 2.4186e+06
3500 151.282 73.1471 218.563 2.41859e+06
4000 151.481 73.1051 218.714 2.42204e+06
4500 151.398 73.0675 218.938 2.42195e+06
5000 151.359 72.9886 219.072 2.4202e+06
5500 151.288 72.9756 218.846 2.41613e+06
6000 151.278 73.018 218.521 2.41378e+06
6500 151.216 73.0274 218.65 2.41453e+06
7000 151.168 73.0333 218.691 2.41441e+06
7500 151.246 72.9163 218.774 2.41271e+06
8000 151.304 72.9596 218.631 2.41348e+06
8500 151.242 72.9654 218.671 2.41313e+06
9000 151.322 72.9892 218.668 2.41516e+06
9500 151.358 72.9199 218.741 2.41425e+06
10000 151.394 73.0086 218.67 2.41698e+06
10500 151.361 72.966 218.665 2.41497e+06
11000 151.204 72.9286 218.919 2.41405e+06
11500 151.161 72.9789 218.779 2.41348e+06
12000 151.16 72.956 218.804 2.41298e+06
12500 151.276 72.9402 218.773 2.41395e+06
13000 151.331 72.8923 218.657 2.41198e+06
13500 151.342 72.9208 218.652 2.41304e+06
14000 151.284 72.8784 218.776 2.41207e+06
14500 151.276 72.8608 218.905 2.41279e+06
15000 151.211 72.794 219.136 2.41208e+06
15500 151.224 72.8314 218.744 2.40921e+06
16000 151.258 72.8128 218.801 2.40977e+06
16500 151.211 72.8804 218.742 2.4106e+06
17000 151.221 72.8733 218.673 2.40976e+06
17500 151.272 72.8815 218.635 2.41044e+06
18000 151.286 72.8665 218.561 2.40936e+06
18500 151.349 72.7885 218.715 2.40946e+06
19000 151.382 72.759 218.745 2.40935e+06
19500 151.197 72.7982 218.884 2.40923e+06
20000 151.292 72.7988 218.747 2.40925e+06
20500 151.118 72.8567 218.577 2.40652e+06
21000 151.16 72.8086 218.543 2.40523e+06
21500 151.281 72.7972 218.393 2.40512e+06
22000 151.151 72.7934 218.592 2.40512e+06
22500 151.191 72.7598 218.808 2.40702e+06
23000 151.108 72.8561 218.832 2.40915e+06
23500 151.222 72.8813 218.574 2.40896e+06
24000 151.154 72.8094 218.834 2.40835e+06
24500 151.163 72.8152 218.863 2.40901e+06
25000 151.03 72.8281 218.637 2.40484e+06
25500 151.17 72.8314 218.56 2.40632e+06
26000 151.238 72.7728 218.763 2.4077e+06
26500 151.267 72.7104 218.885 2.40745e+06
27000 151.212 72.7787 218.705 2.40685e+06
27500 151.138 72.8509 218.572 2.4066e+06
28000 151.134 72.7466 218.609 2.40348e+06
28500 151.043 72.6283 218.909 2.40143e+06
29000 151.142 72.7003 218.815 2.40436e+06
29500 151.223 72.7467 218.798 2.407e+06
30000 151.17 72.7755 218.651 2.40548e+06
30500 151.285 72.7565 218.503 2.40506e+06
31000 151.286 72.7457 218.431 2.40392e+06
31500 151.236 72.807 218.212 2.40273e+06
32000 151.216 72.8301 218.326 2.40444e+06
32500 151.266 72.784 218.423 2.40478e+06
33000 151.19 72.7754 218.326 2.40223e+06
33500 151.278 72.9062 218.205 2.40662e+06
34000 151.28 72.928 218.448 2.41004e+06
34500 151.436 72.8249 218.398 2.40857e+06
35000 151.36 72.9157 218.395 2.41032e+06
35500 151.337 72.7919 218.678 2.40898e+06
36000 151.315 72.8494 218.585 2.40951e+06
36500 151.365 72.8869 218.304 2.40846e+06
37000 151.236 72.9355 218.331 2.40829e+06
37500 151.301 72.8393 218.262 2.40539e+06
38000 151.341 72.9449 218.139 2.40817e+06
38500 151.29 72.8432 218.388 2.40672e+06
39000 151.214 72.8511 218.637 2.40852e+06
