# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 306.06 151.335 217.438 1.00714e+07
1000 305.593 148.92 217.837 9.91351e+06
1500 305.046 148.168 218.353 9.86912e+06
2000 304.646 147.883 218.127 9.82704e+06
2500 304.667 147.928 217.538 9.80417e+06
3000 304.502 147.815 217.518 9.79047e+06
3500 304.616 147.663 217.737 9.79395e+06
4000 304.643 147.677 217.903 9.80319e+06
4500 304.521 147.655 218.131 9.80808e+06
5000 304.649 147.657 218.053 9.80879e+06
5500 304.607 147.646 217.851 9.79761e+06
6000 304.735 147.687 217.536 9.79031e+06
6500 304.74 147.789 217.443 9.79306e+06
7000 304.728 147.728 217.431 9.78803e+06
7500 304.706 147.84 217.4 9.79334e+06
8000 304.704 147.716 217.494 9.78931e+06
8500 304.792 147.651 217.575 9.79153e+06
9000 304.738 147.63 217.663 9.79233e+06
9500 304.825 147.726 217.619 9.79954e+06
10000 304.81 147.705 217.577 9.79576e+06
10500 304.713 147.699 217.543 9.79072e+06
11000 304.572 147.71 217.588 9.78895e+06
11500 304.739 147.657 217.504 9.78698e+06
12000 304.789 147.683 217.415 9.78636e+06
12500 304.771 147.766 217.308 9.7864e+06
13000 304.827 147.817 217.294 9.791e+06
13500 304.83 147.724 217.408 9.79005e+06
14000 304.698 147.735 217.523 9.7917e+06
14500 304.755 147.73 217.567 9.79517e+06
15000 304.708 147.646 217.573 9.7884e+06
15500 304.73 147.701 217.356 9.78298e+06
16000 304.879 147.806 217.121 9.7841e+06
16500 304.817 147.762 217.284 9.78656e+06
17000 304.849 147.624 217.467 9.78667e+06
17500 304.672 147.742 217.461 9.78856e+06
18000 304.674 147.76 217.377 9.78602e+06
18500 304.653 147.829 217.358 9.78903e+06
19000 304.758 147.735 217.466 9.79106e+06
19500 304.63 147.763 217.491 9.78996e+06
20000 304.643 147.806 217.415 9.7898e+06
20500 304.749 147.754 217.344 9.78654e+06
21000 304.778 147.782 217.311 9.78788e+06
21500 304.591 147.795 217.403 9.78687e+06
22000 304.834 147.713 217.317 9.78533e+06
22500 304.784 147.723 217.384 9.78742e+06
23000 304.805 147.71 217.308 9.78381e+06
23500 304.923 147.799 217.271 9.79181e+06
24000 304.759 147.819 217.385 9.79298e+06
24500 304.721 147.787 217.341 9.78766e+06
25000 304.779 147.819 217.331 9.79125e+06
25500 304.693 147.776 217.402 9.78882e+06
26000 304.544 147.817 217.435 9.78826e+06
26500 304.778 147.752 217.322 9.78633e+06
27000 304.703 147.823 217.351 9.78995e+06
27500 304.689 147.778 217.387 9.78812e+06
28000 304.816 147.683 217.369 9.78506e+06
28500 304.692 147.726 217.436 9.787e+06
29000 304.697 147.811 217.37 9.78981e+06
29500 304.726 147.807 217.32 9.78822e+06
30000 304.617 147.77 217.444 9.78786e+06
30500 304.437 147.776 217.499 9.78496e+06
31000 304.447 147.798 217.504 9.78691e+06
31500 304.417 147.793 217.54 9.78727e+06
32000 304.445 147.882 217.466 9.79072e+06
32500 304.511 147.877 217.492 9.79373e+06
33000 304.437 147.909 217.499 9.7938e+06
33500 304.495 147.894 217.447 9.79229e+06
34000 304.442 147.757 217.544 9.78583e+06
34500 304.379 147.695 217.616 9.78295e+06
35000 304.224 147.847 217.624 9.78843e+06
35500 304.133 147.825 217.599 9.78297e+06
36000 304.167 147.784 217.596 9.78116e+06
36500 304.148 147.814 217.658 9.78534e+06
37000 304.301 147.737 217.63 9.78387e+06
37500 304.337 147.8 217.514 9.78398e+06
38000 304.178 147.852 217.544 9.7837e+06
38500 304.134 147.899 217.574 9.78673e+06
39000 304.229 147.79 217.539 9.78095e+06
39500 304.169 147.86 217.516 9.78267e+06
40000 304.116 147.887 217.509 9.78245e+06
40500 304.174 147.895 217.571 9.78759e+06
41000 304.285 147.848 217.508 9.78523e+06
41500 304.188 147.94 217.385 9.7827e+06
42000 304.216 147.903 217.534 9.78782e+06
42500 304.281 147.825 217.59 9.7873e+06
43000 304.29 147.89 217.511 9.78835e+06
43500 304.223 147.888 217.51 9.78601e+06
44000 304.192 147.905 217.396 9.78098e+06
44500 304.088 147.948 217.379 9.77973e+06
45000 304.228 147.802 217.505 9.78022e+06
45500 304.244 147.799 217.408 9.77621e+06
46000 304.251 147.901 217.42 9.78366e+06
46500 304.177 147.861 217.586 9.78618e+06
47000 304.203 147.887 217.519 9.7857e+06
47500 304.321 147.951 217.313 9.78446e+06
48000 304.311 147.98 217.334 9.78694e+06
48500 304.175 147.867 217.503 9.78271e+06
49000 304.279 147.835 217.424 9.78036e+06
49500 304.257 147.805 217.457 9.77921e+06
50000 304.081 147.855 217.58 9.78244e+06
50500 304.198 147.848 217.504 9.78227e+06
51000 304.335 147.864 217.444 9.78501e+06
51500 304.249 147.91 217.463 9.78612e+06
52000 304.262 147.874 217.545 9.78788e+06
52500 304.154 147.806 217.73 9.78825e+06
53000 304.244 147.787 217.693 9.78816e+06
53500 304.236 147.953 217.419 9.7866e+06
54000 304.126 147.922 217.362 9.77846e+06
54500 304.078 147.829 217.484 9.77622e+06
55000 304.272 147.864 217.442 9.78286e+06
55500 304.248 147.895 217.431 9.78369e+06
56000 304.182 147.958 217.496 9.78862e+06
56500 304.158 147.901 217.539 9.78604e+06
57000 304.21 147.772 217.585 9.78122e+06
57500 304.19 147.893 217.51 9.78526e+06
58000 304.263 147.856 217.433 9.78168e+06
58500 304.197 147.801 217.451 9.77673e+06
59000 304.208 147.797 217.335 9.7716e+06
59500 304.254 147.867 217.286 9.77552e+06
60000 304.278 147.847 217.358 9.77817e+06
60500 304.374 147.797 217.462 9.78266e+06
61000 304.233 147.844 217.551 9.78525e+06
61500 304.375 147.788 217.402 9.7794e+06
62000 304.276 147.896 217.312 9.77934e+06
62500 304.226 147.821 217.336 9.7738e+06
63000 304.249 147.834 217.374 9.77715e+06
63500 304.081 147.891 217.413 9.77725e+06
64000 304.243 147.795 217.452 9.77791e+06
64500 304.258 147.795 217.511 9.78099e+06
65000 304.212 147.849 217.433 9.77953e+06
65500 304.312 147.828 217.463 9.78274e+06
66000 304.136 147.758 217.578 9.77766e+06
66500 304.217 147.743 217.485 9.77504e+06
67000 304.213 147.772 217.53 9.77888e+06
67500 304.129 147.799 217.537 9.77826e+06
68000 304.119 147.791 217.419 9.77215e+06
68500 304.129 147.816 217.31 9.76916e+06
69000 304.157 147.858 217.384 9.77618e+06
69500 304.384 147.758 217.343 9.77502e+06
70000 304.331 147.73 217.37 9.77268e+06
70500 304.252 147.794 217.453 9.77813e+06
71000 304.261 147.729 217.543 9.77814e+06
71500 304.314 147.746 217.428 9.77581e+06
72000 304.392 147.808 217.241 9.77404e+06
72500 304.36 147.796 217.335 9.7764e+06
73000 304.337 147.795 217.327 9.77521e+06
73500 304.395 147.743 217.369 9.77553e+06
74000 304.279 147.754 217.44 9.77575e+06
74500 304.229 147.83 217.444 9.77936e+06
75000 304.364 147.771 217.458 9.78042e+06
75500 304.371 147.774 217.381 9.77735e+06
76000 304.409 147.852 217.208 9.776e+06
76500 304.327 147.827 217.298 9.77578e+06
77000 304.228 147.835 217.357 9.77578e+06
77500 304.238 147.85 217.336 9.77612e+06
78000 304.192 147.732 217.495 9.77397e+06
78500 304.131 147.783 217.599 9.78003e+06
79000 304.008 147.834 217.558 9.77763e+06
79500 304.224 147.763 217.365 9.77123e+06
80000 304.305 147.768 217.328 9.77254e+06
80500 304.292 147.79 217.456 9.77931e+06
81000 304.225 147.776 217.473 9.77695e+06
81500 304.134 147.77 217.453 9.77278e+06
82000 304.39 147.783 217.327 9.77619e+06
82500 304.315 147.867 217.28 9.77724e+06
83000 304.442 147.778 217.32 9.77715e+06
83500 304.392 147.869 217.305 9.78097e+06
84000 304.322 147.829 217.249 9.77352e+06
84500 304.298 147.782 217.377 9.77539e+06
85000 304.207 147.704 217.538 9.77456e+06
85500 304.43 147.725 217.395 9.77666e+06
86000 304.359 147.79 217.374 9.77774e+06
86500 304.252 147.768 217.379 9.77307e+06
87000 304.296 147.76 217.38 9.774e+06
87500 304.11 147.777 217.481 9.77373e+06
88000 304.106 147.732 217.42 9.76783e+06
88500 304.115 147.734 217.504 9.77201e+06
89000 304.164 147.636 217.562 9.76973e+06
89500 304.119 147.689 217.498 9.76891e+06
90000 304.299 147.673 217.399 9.7692e+06
90500 304.184 147.721 217.512 9.77377e+06
91000 304.149 147.848 217.438 9.7777e+06
91500 304.024 147.83 217.49 9.77486e+06
92000 304.139 147.848 217.439 9.77738e+06
92500 304.199 147.792 217.39 9.77344e+06
93000 304.289 147.828 217.381 9.77833e+06
93500 304.294 147.744 217.522 9.7793e+06
94000 304.319 147.688 217.497 9.77524e+06
94500 304.224 147.791 217.488 9.77859e+06
95000 304.365 147.816 217.339 9.7781e+06
95500 304.352 147.831 217.23 9.77377e+06
96000 304.245 147.859 217.233 9.77232e+06
96500 304.219 147.825 217.372 9.77544e+06
97000 304.246 147.78 217.419 9.77545e+06
97500 304.279 147.874 217.294 9.77715e+06
98000 304.233 147.888 217.239 9.77406e+06
98500 304.374 147.824 217.335 9.77871e+06
99000 304.318 147.771 217.28 9.77096e+06
99500 304.378 147.775 217.298 9.77394e+06
100000 304.23 147.782 217.4 9.77423e+06
100500 304.287 147.786 217.26 9.77002e+06
101000 304.293 147.785 217.275 9.77084e+06
101500 304.327 147.857 217.203 9.77344e+06
102000 304.497 147.873 217.065 9.77374e+06
102500 304.554 147.856 217.111 9.77652e+06
103000 304.481 147.809 217.221 9.77599e+06
103500 304.38 147.843 217.338 9.78032e+06
