# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
39000 1.29639 2.4928 1.76127 -0.364891 -0.492248 5.75048 -5.88277
39500 0.402165 -0.62472 1.19273 0.638484 -0.532537 4.68813 -2.55101
40000 1.47049 1.68034 1.10856 1.62258 -1.29581 9.34372 1.70678
40500 0.852228 1.26499 0.817192 0.474497 -4.64691 -0.97484 -1.78731
41000 1.24052 1.60075 0.875124 1.2457 -2.02314 5.68271 4.44877
41500 -0.327088 -0.146512 -0.112833 -0.721919 2.32982 7.84144 5.60837
42000 2.83129 1.44392 3.16845 3.88151 -2.9655 -14.5224 6.06301
42500 0.828919 2.22852 0.902984 -0.64475 -4.97201 -12.4979 -0.51925
43000 0.196637 -1.58166 1.21665 0.954926 -3.82833 -6.21016 -0.262125
43500 1.53909 2.13843 0.185982 2.29284 -1.84694 -7.43475 0.857722
44000 0.386285 0.281139 1.12769 -0.249978 1.35897 3.36761 -4.03813
44500 1.36523 1.81142 0.45205 1.83223 -2.37162 14.9885 -6.35475
45000 0.947077 1.54815 1.19345 0.0996359 -7.0629 -7.76099 -1.95948
45500 0.636643 0.362923 0.854611 0.692394 -2.9924 3.7652 -2.32519
46000 1.49411 0.531131 0.872599 3.07859 -4.0201 -6.46874 3.91457
46500 1.78445 2.41865 2.61597 0.318729 3.08744 -16.3858 5.26626
47000 -0.127192 0.594675 -0.6139 -0.36235 -2.24838 -15.2823 5.71742
47500 1.48638 0.642153 2.08247 1.73451 -1.08235 0.873276 4.68572
48000 0.802149 0.489683 0.474758 1.44201 -1.51538 -4.40656 8.47791
48500 0.584709 2.4198 -0.0862796 -0.579389 -5.1565 -0.0360171 6.10833
49000 1.50458 -0.60704 2.55236 2.56842 -2.6317 8.08698 -1.50936
49500 1.47505 2.55211 0.497364 1.37567 -2.73283 9.39159 -1.63977
50000 0.76553 0.0353373 1.94039 0.320862 0.195169 7.14015 -1.2303
50500 0.634057 1.25771 -0.185831 0.83029 -4.71141 4.93928 -1.66874
51000 1.43189 0.686106 2.21792 1.39166 -3.63788 3.50092 -4.37355
51500 0.820198 0.632929 0.891295 0.936369 -1.41289 -2.80083 -4.39423
52000 0.749639 2.02986 -0.413456 0.632514 -2.84559 -1.38764 -3.53836
52500 1.34707 0.859315 1.54044 1.64147 -3.62987 -15.4005 -2.39621
53000 1.74569 1.17272 2.40982 1.65454 0.72466 -18.6842 -1.52898
53500 0.730021 1.07064 0.58822 0.531207 2.81746 12.9847 -2.92355
54000 0.937553 1.34452 1.86324 -0.39511 0.574553 14.5327 -2.77865
54500 1.20134 0.311496 0.675676 2.61686 -4.87787 8.38257 0.314972
55000 0.248243 0.739249 -0.306583 0.312061 3.82009 10.8832 7.9466
55500 1.05647 0.918938 1.28444 0.966035 2.91111 8.61314 3.5057
56000 0.954453 1.15078 0.647998 1.06458 -2.54686 -6.03055 3.38463
56500 0.918015 2.31773 -1.38616 1.82248 -2.62033 -13.9498 6.39467
57000 1.54656 1.13875 3.46371 0.0372198 -6.71308 -7.14032 6.67411
57500 0.611217 0.213842 0.16446 1.45535 -6.25814 1.30331 11.1584
58000 1.01862 0.654033 1.57085 0.830989 -0.289189 12.0279 4.77066
58500 0.795535 2.49633 -0.0884421 -0.0212826 -2.42702 5.44413 3.58565
59000 0.531016 -0.134714 1.25865 0.469109 0.172852 10.3698 2.83311
59500 1.20204 -0.0442453 1.24351 2.40684 0.944013 2.96144 1.5134
60000 2.06935 3.34131 1.1976 1.66914 4.20535 -2.48396 5.38753
60500 0.563871 -0.534038 0.888376 1.33728 -1.91068 -7.40885 0.984078
61000 0.59993 1.26013 1.33347 -0.79381 -1.11428 -4.78583 8.89977
61500 1.87867 1.43424 2.11415 2.08763 -4.62576 6.83769 1.92388
62000 -0.514621 -0.552432 -1.42053 0.429102 -6.21129 18.7496 1.56676
62500 0.975465 0.724663 1.81764 0.384093 -7.62215 15.0621 -4.13487
63000 1.81679 1.49715 0.793401 3.15982 -0.359625 12.5463 -0.730513
63500 0.59903 0.43841 1.60586 -0.247184 -0.127986 15.4361 5.38294
64000 1.56466 2.22412 1.18278 1.28709 -4.1381 0.377425 6.07956
64500 0.081834 -0.557844 0.56246 0.240886 -7.0675 -0.756669 6.7815
65000 1.51364 2.47355 0.611897 1.45549 0.795976 -1.9178 14.5702
65500 0.90041 0.819014 1.60499 0.277229 -3.25497 7.1428 8.45497
66000 0.797373 2.37818 -0.112001 0.125936 -5.99406 -3.69165 16.4584
66500 1.07384 -1.2159 1.36389 3.07353 0.966298 3.60221 2.70227
67000 0.911652 0.805001 1.01895 0.911007 -0.660331 6.24979 -1.79111
67500 0.638075 1.34286 1.46384 -0.892473 2.20548 1.50677 -7.54527
68000 1.28536 2.68609 -0.183956 1.35394 -1.72555 5.99438 -7.789
68500 1.5036 -0.477918 2.37612 2.6126 0.177576 12.5574 -11.0078
69000 0.343244 2.68097 -0.33811 -1.31313 1.5709 15.45 -0.102038
69500 1.48779 -0.119557 1.76599 2.81693 1.94609 15.6549 5.41702
70000 0.938557 0.512434 1.3261 0.977137 0.0344953 10.9063 10.8579
70500 0.743825 1.28146 0.734533 0.215486 -4.50309 8.70771 11.0959
71000 1.66889 2.24702 1.0552 1.70446 1.28123 1.77943 15.8471
71500 1.1125 0.195652 1.08578 2.05608 -0.343873 -2.97166 4.79822
72000 -0.180804 0.702925 0.088346 -1.33368 -1.62003 19.4793 1.55842
72500 1.32613 1.49959 0.868293 1.6105 -0.774119 2.32804 2.21786
73000 0.656557 0.890838 -0.166967 1.2458 2.49494 6.27988 -1.26466
73500 1.744 1.37884 2.14072 1.71243 -3.8982 12.1424 -4.54065
74000 0.588024 1.023 0.317065 0.424004 -2.66631 5.15567 -3.22288
74500 1.32698 1.10349 1.62844 1.24902 -5.65877 6.81791 -8.20012
75000 0.771165 1.77856 0.530815 0.00411577 -1.06591 -13.321 -2.58047
75500 0.858076 -0.265174 1.27677 1.56263 -0.603622 -1.66771 3.40203
76000 1.26958 0.851426 2.57019 0.387136 1.9131 13.8939 8.15229
76500 1.97525 2.65639 1.03122 2.23813 -2.76744 0.688418 7.54548
77000 0.898597 -0.323596 1.3995 1.61989 -5.29294 7.49325 -1.29389
77500 0.027348 1.47005 -1.12954 -0.258473 1.38892 18.345 0.18406
78000 1.35548 0.154598 2.57325 1.33858 -1.34411 3.04718 -7.26131
78500 0.0217124 -0.248884 0.306934 0.00708698 -1.26626 3.38396 -8.96879
79000 1.22371 2.61396 0.738043 0.319116 -3.33172 0.72254 -6.14049
79500 1.85804 0.991033 1.6216 2.96148 -4.84182 4.82267 -8.72598
80000 1.42859 1.51498 1.41351 1.35728 -4.24744 7.15164 -1.44589
80500 1.13441 0.528908 2.16273 0.711582 -5.15719 -1.43439 -4.93725
81000 0.218158 0.925676 -1.05616 0.784961 0.621759 1.67677 -5.65152
81500 0.938727 1.38145 0.77987 0.654861 -0.945487 2.87947 -3.77432
82000 1.5196 1.86598 2.25169 0.441132 -2.26891 14.1082 -5.89546
82500 1.18807 0.673826 0.435871 2.45452 -2.20883 6.36195 -0.486047
83000 -0.0222709 0.0640281 1.10158 -1.23242 3.00995 17.632 -6.57284
83500 1.29986 1.55883 -0.435524 2.77628 -1.56261 5.22269 -6.67596
84000 0.869251 0.831365 2.8757 -1.09931 0.000386505 5.99568 -4.62044
84500 1.24649 -0.170592 0.876432 3.03363 2.02459 1.86802 -4.04825
85000 0.8821 1.97743 0.875182 -0.206311 2.84608 -0.178233 -1.24816
