# Time-averaged data for fix vv
# TimeStep v_l1 v_l2 v_l3 v_vs
500 153.353 75.1288 217.407 2.5048e+06
1000 153.507 73.7819 217.619 2.46476e+06
1500 153.341 73.4469 217.666 2.45145e+06
2000 153.08 73.2914 217.099 2.43574e+06
2500 152.786 73.2651 216.461 2.42304e+06
3000 152.602 73.1267 216.655 2.41771e+06
3500 152.692 72.9677 217.194 2.41988e+06
4000 152.727 72.8805 217.575 2.42179e+06
4500 152.654 72.913 217.585 2.42182e+06
5000 152.854 72.9147 217.188 2.42063e+06
5500 152.823 72.9858 216.985 2.42024e+06
6000 152.698 72.985 216.998 2.41837e+06
6500 152.753 72.9115 216.976 2.41656e+06
7000 152.668 72.905 216.953 2.41474e+06
7500 152.616 72.957 217.036 2.41657e+06
8000 152.802 72.9209 217.112 2.41917e+06
8500 152.801 72.8628 217.018 2.41616e+06
9000 152.822 72.9016 216.862 2.41605e+06
9500 152.744 72.8925 216.727 2.41302e+06
10000 152.687 72.9056 216.79 2.41325e+06
10500 152.73 72.9137 216.914 2.41558e+06
11000 152.776 72.9158 216.756 2.41462e+06
11500 152.752 72.9292 216.498 2.4118e+06
12000 152.782 72.8748 216.509 2.4106e+06
12500 152.698 72.8256 216.678 2.40953e+06
13000 152.657 72.8039 216.761 2.40909e+06
13500 152.637 72.7608 216.817 2.40798e+06
14000 152.73 72.7827 216.629 2.40807e+06
14500 152.7 72.8086 216.801 2.41037e+06
15000 152.66 72.7673 216.831 2.40871e+06
15500 152.58 72.7309 216.634 2.40404e+06
16000 152.542 72.8157 216.815 2.40826e+06
16500 152.522 72.7262 216.969 2.4067e+06
17000 152.621 72.6982 216.872 2.40625e+06
17500 152.668 72.7603 216.907 2.40944e+06
18000 152.792 72.8601 216.585 2.41113e+06
18500 152.83 72.8487 216.675 2.41235e+06
19000 152.806 72.8673 216.703 2.41289e+06
19500 152.74 72.8514 216.594 2.4101e+06
20000 152.697 72.9049 216.545 2.41065e+06
20500 152.727 72.8412 216.768 2.4115e+06
21000 152.841 72.8891 216.739 2.41456e+06
21500 152.872 72.9045 216.672 2.41482e+06
22000 152.964 72.8517 216.492 2.41251e+06
22500 152.787 72.903 216.583 2.41244e+06
23000 152.752 72.857 216.825 2.41305e+06
23500 152.864 72.9479 216.537 2.41462e+06
24000 152.784 72.9744 216.372 2.4124e+06
24500 152.797 72.9824 216.32 2.41229e+06
25000 152.889 72.9767 216.314 2.41348e+06
25500 152.941 73.0172 216.406 2.41667e+06
26000 152.912 73.0189 216.578 2.4182e+06
26500 152.988 72.9527 216.585 2.41728e+06
27000 153.044 73.0211 216.316 2.41742e+06
27500 152.955 73.0302 216.36 2.41682e+06
28000 152.94 73.0535 216.227 2.41586e+06
28500 152.921 73.0724 216.215 2.41604e+06
29000 153.027 72.982 216.279 2.41544e+06
29500 152.898 72.8679 216.656 2.41384e+06
30000 152.917 72.951 216.38 2.41382e+06
30500 152.944 73.0122 216.174 2.41396e+06
31000 152.963 72.9591 216.494 2.41607e+06
31500 152.916 72.9177 216.592 2.41506e+06
32000 152.921 72.9137 216.568 2.41475e+06
32500 152.847 73.0087 216.28 2.4135e+06
33000 152.851 73.0159 215.992 2.41059e+06
33500 152.888 73.0314 216.088 2.41276e+06
34000 152.809 72.9739 216.543 2.41469e+06
34500 152.946 73.018 216.298 2.41556e+06
35000 152.833 72.9808 216.263 2.41217e+06
35500 152.937 73.017 216.152 2.41377e+06
36000 152.84 73.0033 216.221 2.41256e+06
36500 152.808 73.0173 216.145 2.41166e+06
37000 152.694 73.0195 216.147 2.40995e+06
37500 152.851 72.8895 216.567 2.41283e+06
38000 152.816 72.8807 216.484 2.41105e+06
38500 152.83 72.9888 216.233 2.41206e+06
39000 152.902 72.9478 216.2 2.41147e+06
39500 152.846 72.941 216.262 2.41104e+06
40000 152.885 72.9216 216.372 2.41225e+06
40500 152.81 72.9565 216.266 2.41104e+06
41000 152.817 73.0264 215.85 2.40881e+06
41500 152.758 72.961 215.917 2.40647e+06
42000 152.873 72.9184 216.354 2.41175e+06
42500 152.867 72.874 216.604 2.41297e+06
43000 152.877 72.9207 216.225 2.41046e+06
43500 152.9 72.9932 215.957 2.41022e+06
44000 152.849 73.0069 216.247 2.41311e+06
44500 152.797 72.9514 216.239 2.41036e+06
45000 152.826 72.9879 216.047 2.40989e+06
45500 152.816 72.9454 216.187 2.40988e+06
46000 152.925 72.9897 216.294 2.41427e+06
46500 152.935 73.1046 215.98 2.41471e+06
47000 153.004 73.118 215.954 2.41596e+06
47500 153.022 73.1262 215.982 2.41683e+06
48000 152.969 73.1217 215.965 2.41564e+06
48500 152.899 73.0975 215.826 2.41218e+06
49000 152.925 73.1242 215.888 2.41417e+06
49500 152.794 73.0033 216.285 2.41253e+06
50000 152.875 73.0133 216.187 2.41306e+06
50500 152.903 73.0174 216.196 2.41375e+06
51000 152.995 72.9672 216.344 2.41517e+06
51500 153.004 72.9675 216.342 2.4153e+06
52000 153.06 73.0697 215.749 2.41294e+06
52500 152.939 73.1809 215.641 2.41351e+06
53000 153.026 72.9652 216.039 2.41219e+06
53500 152.92 73.0365 216.192 2.4146e+06
54000 153.04 73.0597 215.807 2.41294e+06
54500 153.034 73.11 215.732 2.41368e+06
55000 152.964 73.0039 215.935 2.41134e+06
55500 152.896 73.0238 216.187 2.41374e+06
56000 152.855 72.9738 216.354 2.4133e+06
56500 152.831 72.9941 216.191 2.41177e+06
57000 152.913 73.0157 216.082 2.41257e+06
57500 152.87 72.9421 216.26 2.41144e+06
58000 152.925 72.9681 216.296 2.41356e+06
58500 152.869 73.0013 216.061 2.41116e+06
59000 152.934 72.9233 216.318 2.41247e+06
59500 152.98 72.9613 216.259 2.4138e+06
60000 152.934 72.9365 216.188 2.41146e+06
60500 152.975 72.8825 216.25 2.41101e+06
61000 153.071 72.8977 216.145 2.41186e+06
61500 152.964 72.9821 216.128 2.41277e+06
62000 152.92 72.9519 216.267 2.41263e+06
62500 152.884 73.0225 216.078 2.41228e+06
63000 152.919 72.9415 216.073 2.41011e+06
63500 152.899 72.9192 216.108 2.40945e+06
64000 152.899 72.9229 216.176 2.41033e+06
64500 152.821 72.8489 216.485 2.41009e+06
65000 152.877 72.8882 216.257 2.40974e+06
65500 152.874 72.9775 216.026 2.41007e+06
66000 152.926 72.9375 216.165 2.41112e+06
66500 152.932 72.9637 216.069 2.411e+06
67000 152.833 72.8931 216.223 2.40882e+06
67500 152.685 72.8558 216.639 2.4099e+06
68000 152.634 72.9282 216.527 2.41023e+06
68500 152.688 72.9435 216.337 2.40947e+06
69000 152.805 72.9762 216.476 2.41395e+06
69500 152.947 73.0076 216.41 2.4165e+06
70000 152.935 73.0118 216.105 2.41304e+06
70500 152.919 73.0563 215.983 2.41289e+06
71000 152.856 72.9166 216.411 2.41206e+06
71500 152.786 72.9627 216.558 2.41413e+06
72000 152.756 73.0357 216.159 2.4116e+06
72500 152.87 72.9834 216.019 2.41012e+06
73000 152.945 73.0171 216.07 2.41298e+06
73500 153.021 72.9865 216.16 2.41418e+06
74000 152.977 73.0205 216.046 2.41334e+06
74500 152.875 73.0317 215.906 2.41053e+06
75000 152.839 73.0336 216.071 2.41187e+06
75500 152.787 73.0143 216.223 2.41211e+06
76000 152.866 73.0079 216.015 2.41082e+06
76500 152.975 73.0461 215.988 2.41351e+06
77000 152.917 72.9965 216.333 2.41479e+06
77500 153.025 72.9794 216.231 2.4148e+06
78000 152.98 72.9087 216.175 2.41112e+06
78500 152.938 72.8724 216.385 2.4116e+06
79000 152.825 72.9362 216.161 2.40943e+06
79500 152.778 73.0374 215.9 2.40912e+06
80000 152.914 72.9731 216.141 2.41183e+06
80500 152.873 72.9844 216.184 2.41204e+06
81000 152.834 72.9849 216.239 2.41206e+06
81500 152.838 72.9767 216.404 2.41369e+06
82000 152.816 72.9495 216.186 2.41e+06
82500 152.832 72.9968 216.038 2.41018e+06
83000 152.756 72.9499 216.321 2.41059e+06
83500 152.831 72.9277 216.256 2.41031e+06
84000 152.733 72.9367 216.278 2.40931e+06
84500 152.735 73.0012 216.286 2.41156e+06
85000 152.856 72.9031 216.583 2.41354e+06
85500 152.825 72.9253 216.513 2.41299e+06
86000 152.828 72.9543 216.327 2.41192e+06
86500 152.809 72.9251 216.387 2.41133e+06
87000 152.925 72.8952 216.426 2.41261e+06
87500 152.777 72.9271 216.54 2.41259e+06
88000 152.822 72.8954 216.375 2.41041e+06
88500 152.76 72.9197 216.14 2.40763e+06
89000 152.741 72.9686 216.116 2.40867e+06
89500 152.673 72.8677 216.487 2.40841e+06
90000 152.824 72.8655 216.535 2.41124e+06
90500 152.772 72.9324 216.245 2.40942e+06
91000 152.777 72.9218 216.055 2.40702e+06
91500 152.763 72.7808 216.427 2.40628e+06
92000 152.663 72.7637 216.794 2.40823e+06
92500 152.597 72.861 216.484 2.40695e+06
93000 152.671 72.8378 216.343 2.40577e+06
93500 152.626 72.8154 216.453 2.40555e+06
94000 152.623 72.7301 216.665 2.40503e+06
94500 152.696 72.799 216.604 2.40779e+06
95000 152.749 72.7893 216.352 2.40551e+06
95500 152.705 72.8422 216.179 2.40463e+06
96000 152.668 72.8191 216.456 2.40637e+06
96500 152.719 72.8334 216.439 2.40745e+06
97000 152.718 72.8977 216.34 2.40846e+06
97500 152.735 72.8297 216.334 2.40642e+06
98000 152.78 72.7878 216.378 2.40624e+06
98500 152.732 72.8178 216.54 2.40828e+06
99000 152.645 72.8589 216.461 2.40738e+06
99500 152.715 72.8676 216.098 2.40474e+06
100000 152.794 72.9297 215.909 2.40592e+06
100500 152.842 72.8768 216.116 2.40724e+06
101000 152.838 72.966 216.019 2.40904e+06
101500 152.841 72.9176 216.272 2.41031e+06
102000 152.916 72.9367 216.37 2.4132e+06
102500 152.816 72.9061 216.432 2.41131e+06
103000 152.811 72.8931 216.44 2.41089e+06
103500 152.827 72.7588 216.549 2.40791e+06
104000 152.869 72.8737 216.169 2.40814e+06
104500 152.682 72.9399 216.117 2.40681e+06
105000 152.73 72.9447 216.295 2.40971e+06
105500 152.789 72.8314 216.388 2.40793e+06
106000 152.794 72.8906 216.203 2.40791e+06
106500 152.763 72.9111 216.245 2.40857e+06
107000 152.786 72.8612 216.365 2.4086e+06
107500 152.729 72.8427 216.394 2.40742e+06
108000 152.637 72.9423 216.143 2.40646e+06
108500 152.779 72.926 216.147 2.40821e+06
109000 152.834 72.8094 216.428 2.40835e+06
109500 152.825 72.8405 216.485 2.40988e+06
110000 152.837 72.8924 216.281 2.40951e+06
110500 152.952 72.937 215.958 2.4092e+06
111000 152.883 72.9056 216.156 2.40928e+06
111500 152.844 72.9121 216.184 2.40919e+06
112000 152.819 72.936 216.001 2.40754e+06
112500 152.755 72.8791 216.242 2.40735e+06
113000 152.836 72.8378 216.451 2.40958e+06
113500 152.857 72.8929 216.477 2.41203e+06
114000 152.847 72.9329 216.233 2.41047e+06
114500 152.843 72.9368 216.111 2.40918e+06
115000 152.836 72.8929 216.104 2.40754e+06
115500 152.854 72.8745 216.195 2.40823e+06
116000 152.862 72.9553 216.144 2.41045e+06
116500 152.955 73 215.789 2.40943e+06
117000 152.897 72.9931 216.05 2.41122e+06
117500 152.936 72.9545 216.393 2.41439e+06
118000 152.899 72.9649 216.045 2.41025e+06
118500 152.972 73.0271 215.858 2.41136e+06
119000 152.915 72.9751 216.14 2.41191e+06
119500 152.994 72.9782 215.98 2.41147e+06
120000 152.946 73.0437 215.953 2.41257e+06
120500 152.87 73.0292 215.958 2.41095e+06
121000 153.046 72.9848 215.887 2.41145e+06
121500 152.988 72.9698 216.09 2.41233e+06
122000 152.885 72.9631 216.258 2.41235e+06
122500 152.818 72.8974 216.116 2.40753e+06
123000 152.925 72.9387 215.854 2.40766e+06
123500 152.925 72.8103 216.125 2.40645e+06
124000 152.892 72.8539 216.192 2.40812e+06
124500 152.882 72.8225 216.178 2.40677e+06
125000 152.702 72.7882 216.384 2.40509e+06
125500 152.801 72.7651 216.387 2.40591e+06
126000 152.919 72.809 216.19 2.40703e+06
126500 152.901 72.9141 216.009 2.4082e+06
127000 152.927 72.7893 216.236 2.40702e+06
127500 152.864 72.7653 216.407 2.40713e+06
128000 152.825 72.7796 216.369 2.40657e+06
128500 152.751 72.7086 216.456 2.40402e+06
129000 152.624 72.6697 216.581 2.40212e+06
129500 152.578 72.6817 216.552 2.40149e+06
130000 152.595 72.7061 216.528 2.40229e+06
130500 152.665 72.748 216.507 2.40454e+06
131000 152.73 72.7799 216.43 2.40577e+06
131500 152.726 72.7732 216.552 2.40683e+06
132000 152.764 72.7309 216.698 2.40765e+06
132500 152.621 72.8135 216.572 2.40673e+06
133000 152.535 72.7447 216.413 2.40134e+06
133500 152.483 72.6334 216.542 2.39828e+06
134000 152.709 72.6436 216.42 2.40083e+06
134500 152.634 72.7017 216.333 2.40059e+06
135000 152.706 72.7809 216.347 2.4045e+06
135500 152.749 72.7664 216.343 2.40465e+06
136000 152.71 72.8661 216.241 2.40619e+06
136500 152.726 72.8129 216.096 2.40308e+06
137000 152.614 72.7354 216.57 2.40402e+06
137500 152.677 72.7827 216.394 2.40463e+06
138000 152.725 72.7932 216.259 2.40423e+06
138500 152.75 72.7888 216.345 2.40543e+06
139000 152.906 72.8704 216.247 2.40949e+06
139500 152.836 72.8267 216.297 2.40749e+06
140000 152.958 72.8795 216.183 2.40991e+06
140500 152.934 72.9105 216.375 2.41269e+06
141000 152.799 72.8469 216.349 2.40816e+06
141500 152.906 72.8958 216.071 2.40837e+06
142000 152.898 72.9376 215.996 2.40879e+06
142500 152.894 72.9161 216.203 2.41032e+06
143000 152.822 72.8707 216.244 2.40815e+06
143500 152.749 73.0163 216.098 2.41018e+06
144000 152.86 72.929 216.196 2.41014e+06
144500 152.887 72.9444 216.367 2.41298e+06
145000 152.938 72.9094 216.19 2.41066e+06
145500 152.855 72.8187 216.392 2.4086e+06
146000 152.812 72.8463 216.484 2.40985e+06
146500 152.76 72.8121 216.389 2.40685e+06
147000 152.723 72.8262 216.134 2.4039e+06
147500 152.824 72.7345 216.118 2.40228e+06
148000 152.792 72.6853 216.441 2.40374e+06
148500 152.786 72.8127 216.261 2.40586e+06
149000 152.722 72.8963 216.204 2.40697e+06
149500 152.826 72.8005 216.475 2.40845e+06
150000 152.863 72.7836 216.575 2.40959e+06
150500 152.855 72.7873 216.221 2.40565e+06
151000 152.921 72.7653 216.256 2.40636e+06
151500 152.733 72.7999 216.436 2.40654e+06
152000 152.712 72.7873 216.487 2.40635e+06
152500 152.68 72.6947 216.34 2.40117e+06
153000 152.634 72.7219 216.246 2.4003e+06
153500 152.694 72.7521 216.433 2.40432e+06
154000 152.725 72.7747 216.39 2.40507e+06
154500 152.889 72.9137 216.118 2.40921e+06
155000 153.002 72.8731 216.103 2.40949e+06
155500 153.003 72.8919 216.036 2.40938e+06
156000 152.979 72.886 216.32 2.41197e+06
156500 152.96 72.851 216.436 2.41181e+06
157000 152.986 72.8698 216.082 2.4089e+06
157500 152.935 72.9383 216.109 2.41066e+06
158000 152.84 72.8691 216.327 2.40931e+06
158500 152.883 72.9424 216.305 2.41216e+06
159000 152.835 72.8666 216.267 2.40847e+06
159500 152.924 72.8538 216.314 2.40997e+06
160000 152.93 72.8326 216.19 2.40799e+06
160500 152.939 72.9014 215.962 2.40786e+06
161000 152.804 72.9317 216.09 2.40816e+06
161500 152.897 72.9001 216.193 2.40973e+06
162000 152.868 72.9003 216.248 2.40989e+06
162500 152.973 72.8681 216.107 2.40891e+06
163000 152.922 72.8345 216.11 2.40704e+06
163500 152.943 72.9081 215.97 2.40823e+06
164000 152.952 72.8864 215.86 2.40643e+06
164500 152.941 72.8646 216.253 2.40992e+06
165000 152.849 72.8427 216.466 2.41012e+06
165500 152.721 72.8347 216.221 2.40511e+06
166000 152.713 72.8218 216.136 2.40362e+06
166500 152.754 72.825 216.276 2.40592e+06
167000 152.713 72.8422 216.39 2.40711e+06
167500 152.799 72.8935 216.197 2.40802e+06
168000 152.859 72.8139 216.192 2.40628e+06
168500 152.778 72.8152 216.246 2.40564e+06
169000 152.794 72.7699 216.564 2.40794e+06
169500 152.728 72.7241 216.541 2.40512e+06
170000 152.637 72.7792 216.427 2.40425e+06
170500 152.501 72.7484 216.468 2.40155e+06
171000 152.628 72.7785 216.55 2.40544e+06
171500 152.747 72.7069 216.619 2.40571e+06
172000 152.803 72.7542 216.384 2.40554e+06
172500 152.751 72.76 216.52 2.40644e+06
173000 152.653 72.7774 216.481 2.40503e+06
173500 152.567 72.8218 216.268 2.40278e+06
174000 152.516 72.7123 216.424 2.4001e+06
174500 152.665 72.669 216.472 2.40155e+06
175000 152.577 72.7521 216.378 2.40186e+06
175500 152.712 72.6412 216.376 2.40029e+06
176000 152.583 72.6619 216.706 2.40262e+06
176500 152.568 72.6846 216.787 2.40402e+06
177000 152.631 72.6596 216.641 2.40258e+06
177500 152.678 72.7785 216.11 2.40134e+06
178000 152.769 72.8246 216.093 2.4041e+06
178500 152.81 72.691 216.566 2.40559e+06
179000 152.734 72.751 216.598 2.40675e+06
179500 152.706 72.7731 216.382 2.40463e+06
180000 152.685 72.876 216.036 2.40386e+06
180500 152.692 72.8901 216.195 2.40619e+06
181000 152.587 72.7578 216.659 2.40532e+06
181500 152.63 72.8073 216.335 2.40405e+06
182000 152.659 72.8674 216.043 2.40323e+06
182500 152.797 72.916 216.149 2.40819e+06
183000 152.718 72.8527 216.387 2.4075e+06
183500 152.692 72.7646 216.602 2.40658e+06
184000 152.695 72.8145 216.186 2.40363e+06
184500 152.671 72.8315 216.113 2.40302e+06
185000 152.732 72.8123 216.379 2.4063e+06
185500 152.748 73.0101 215.925 2.40801e+06
186000 152.718 72.969 215.941 2.40637e+06
186500 152.755 72.9437 216.222 2.40925e+06
187000 152.864 72.8571 216.364 2.40969e+06
187500 152.784 72.8089 216.32 2.40636e+06
188000 152.755 72.7598 216.181 2.40272e+06
188500 152.649 72.7199 216.607 2.40448e+06
189000 152.594 72.7389 216.628 2.40447e+06
189500 152.666 72.7429 216.288 2.40195e+06
190000 152.791 72.7125 216.412 2.40429e+06
190500 152.772 72.7507 216.65 2.40791e+06
