# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
500 -49.3015 -11.932 -148.555 12.5825 -2.27782 -146.176 1.21253
1000 -0.841071 -0.456211 -6.00297 3.93597 -1.56855 -155.996 5.25203
1500 -0.234184 0.0641557 1.37363 -2.14034 -16.7459 -127.518 12.9894
2000 -0.599426 2.48215 -1.14274 -3.13769 -4.29337 -18.4362 28.9126
2500 -0.696804 -3.33248 0.364993 0.877079 5.61941 86.2649 14.809
3000 1.92809 1.63115 -0.143825 4.29694 0.691609 32.25 3.0868
3500 -0.251277 0.732308 -3.22249 1.73635 -1.10287 -16.7994 2.54343
4000 0.314674 -0.637992 1.14801 0.434005 -16.0746 -64.1426 4.95636
4500 2.36133 3.95976 0.728148 2.39609 1.95058 -96.9204 7.07702
5000 0.805012 2.49824 0.879335 -0.962539 -8.60404 -64.9177 11.8711
5500 0.810557 0.64195 1.68065 0.109074 -4.41452 -40.3824 15.7894
6000 -0.908438 -4.60034 0.96604 0.908981 -20.4898 -28.7923 6.41689
6500 2.52454 3.65709 2.27213 1.64439 -8.56389 -13.8027 23.2841
7000 0.377881 0.048954 1.29912 -0.21443 -14.1665 -6.58609 22.9015
7500 0.671592 1.0199 0.945323 0.0495506 -15.6207 -51.0306 32.2766
8000 1.31576 1.5544 -1.98537 4.37825 -8.178 -63.6085 27.7994
8500 2.09023 2.53225 3.85479 -0.116335 -19.4163 -56.4063 8.46262
9000 -0.243164 0.13473 -1.28076 0.416542 -17.5521 -65.7438 3.89352
9500 0.848075 -0.512187 2.4754 0.581016 -14.5322 -51.5329 26.67
10000 0.866604 2.80777 -0.523167 0.315209 -17.2218 -61.4273 13.4671
10500 1.46082 2.20159 1.67563 0.505243 -6.59337 -39.438 22.3097
11000 1.19833 0.224074 2.66417 0.706737 -9.7386 -43.6204 16.3107
11500 -0.422515 1.4465 -3.65651 0.942469 -18.0996 -48.9655 25.2165
12000 2.63915 0.580649 5.22167 2.11513 -1.09094 -40.8788 33.2884
12500 0.170081 0.22195 0.946667 -0.658375 -15.342 -26.8301 4.03809
13000 2.39506 3.94967 -2.16944 5.40496 -7.97884 -36.458 16.6517
13500 0.111302 -0.09495 1.32758 -0.898719 -1.32553 -38.688 26.6237
14000 0.946462 -1.08973 4.24452 -0.315403 -1.24621 -12.3727 26.0887
14500 1.08574 2.20344 -2.08988 3.14364 3.69429 -30.7275 27.6948
15000 -0.539492 -1.40846 2.08834 -2.29835 -0.149988 -39.1741 26.369
15500 2.89355 4.45645 3.20294 1.02126 -1.98441 -6.70445 29.5493
16000 1.07535 -0.0728407 -1.20297 4.50184 -13.2984 -20.5751 12.8038
16500 -0.663486 -1.28764 -1.14462 0.441795 -19.5966 -19.2808 1.37904
17000 1.33194 1.63939 0.811463 1.54497 -4.46026 -36.8295 14.3589
17500 1.23189 4.04721 2.02751 -2.37906 -4.49981 -45.3841 23.8132
18000 1.55466 1.023 1.20019 2.4408 1.66879 -21.145 43.9014
18500 1.54944 -0.998717 5.20758 0.439468 2.38335 -37.2043 50.1812
19000 -0.204576 0.469261 -1.08128 -0.00171309 -19.2888 -70.9866 32.9882
19500 2.2759 2.7905 1.14664 2.89056 -5.5189 -31.3666 37.8433
20000 0.875093 -0.991654 0.837799 2.77913 1.0778 -14.0129 25.494
20500 -0.284094 2.8886 -0.182932 -3.55795 -1.09855 -14.5858 16.8158
21000 2.76673 2.31534 1.07392 4.91093 -10.4603 -4.50554 4.37181
21500 1.67505 0.430501 4.90922 -0.314563 -7.19437 -17.5228 -2.78551
